"APP ID"	"Date Announced"	"CIA Name"	"Grant Type"	"Sub Type"	"Grant Title"	"Admin Institution"	"State"	"Sector"	"Total"	"Broad Research Area"	"Fields of Research"	"Res KW1"	"Res KW2"	"Res KW3"	"Res KW4"	"Res KW5"	"Plain Description"
2014703	2022-01-14	"Prof Mark Jenkins"	"Targeted Call for Research"	"2021 TCR - Participation in Cancer Screening Programs"	"SMARTERscreen: A randomised controlled trial of patient SMS messaging in general practice to increase participation in the National Bowel Cancer Screening Program"	"University of Melbourne"	"VIC"	"University"	1595838.95	"Public Health"	"public health and health services | preventive medicine | oncology and carcinogenesis | oncology and carcinogenesis not elsewhere classified |"	"colorectal cancer prevention"	"bowel cancer screening"	"patient participation"	"primary care"	"behaviour change"	"Most people invited to take part in free screening for bowel cancer do not participate.  We will test whether a personalised SMS from the doctor, to their patients phone, will people completing and returning the home test kit sent.  The SMS will contain a message from the person's doctor recommending they do it, a video testimonial from someone affected by bowel cancer, a link to the website of the screening program for more information, and an animation of how to complete the home test kit."
2014837	2022-01-14	"Dr Elizabeth Buckley"	"Targeted Call for Research"	"2021 TCR - Participation in Cancer Screening Programs"	"A breakthrough approach to define screening gaps in priority groups to target screening"	"University of South Australia"	"SA"	"University"	601260.25	"Health Services Research"	"public health and health services | public health and health services not elsewhere classified |"	"cancer screening"	"mammogram screening"	"data linkage"	"data analysis"	"aboriginal health"	"Improving breast screening participation requires accurate data of screening rates including within priority groups such as Aboriginal and Torres Strait Islander women, women from diverse cultural and language backgrounds and with different levels of educational attainment and income.  Linkage between Census and NSW screening records can provide best evidence of screening rates overall, within priority groups, and following the impact of COVID and previous attempts to improve screening."
2014908	2022-01-14	"Assoc Prof Lisa Whop"	"Targeted Call for Research"	"2021 TCR - Participation in Cancer Screening Programs"	"Embedding community driven models to increase cervical screening via HPV self-collection to improve cervical cancer outcomes for Aboriginal and Torres Strait Islander people"	"Australian National University"	"ACT"	"University"	1579683.1	"Public Health"	"public health and health services | aboriginal and torres strait islander health | public health and health services | primary health care | public health and health services | preventive medicine |"	"indigenous health"	"cervical screening"	"community-based"	"implementation"	"equity"	"Aboriginal and Torres Strait Islander people face an unfair burden of cervical cancer.  A new screening option lets people take their own sample; this may make screening easier. Working with communities and health services dedicated to Aboriginal and Torres Strait Islander health needs we will co-design ways services can use self-collection and other strategies that best suit them and their communities. This work will engage more people to participate in screening in a culturally safe environment."
2014964	2022-01-14	"Dr Eleonora Feletto"	"Targeted Call for Research"	"2021 TCR - Participation in Cancer Screening Programs"	"MAIL, GP, and SCALE: Mobilising nAtIonaL bowel cancer screeninG Program participation through combining individual, health ServiCe, and populAtion Level intervEntions"	"University of Sydney"	"NSW"	"University"	1749059.7	"Public Health"	"public health and health services | primary health care |"	"bowel cancer screening"	"general practice"	"intervention study"	"disease modelling"	"mass media"	"We aim to better understand how Australians are screening for bowel cancer and design a new method for GPs to advocate for the National Bowel Cancer Screening Program, especially for people who screen outside the program but should not and those who have never or forgotten to screen. This project will take new and existing information on ways in which we can improve screening for bowel cancer and assess how they could be combined most effectively to prevent the greatest number of deaths."
2015178	2022-01-14	"Dr Claire Nightingale"	"Targeted Call for Research"	"2021 TCR - Participation in Cancer Screening Programs"	"It’s a gamechanger” – using HPV self-collection to improve equity and participation in Australia's National Cervical Screening Program"	"University of Melbourne"	"VIC"	"University"	1408759.5	"Health Services Research"	"public health and health services | primary health care | public health and health services | preventive medicine | public health and health services | public health and health services not elsewhere classified |"	"human papillomavirus (hpv)"	"cervical cancer"	"equity"	"implementation"	"health care evaluation"	"Integrating self-collection into Australia’s National Cervical Screening Program has game-changing potential to increase participation. We know that healthcare providers need more support to offer this option, and women need information to support decision-making. Our project will enable innovative solutions to support providers, women, and the scale-up of self-collection, and create an enabling environment for the consideration of models of care to increase access and equity."
2015215	2022-01-14	"Prof Deborah Bateson"	"Targeted Call for Research"	"2021 TCR - Participation in Cancer Screening Programs"	"Overcoming Inequity: Increasing Cervical Screening Participation for People with Intellectual Disability (CIRCE)"	"Family Planning NSW"	"NSW"	"Hospitals and Health Services"	1433806.71	"Health Services Research"	"public health and health services | care for disabled | public health and health services | health promotion | public health and health services | public health and health services not elsewhere classified |"	"cervical cancer"	"intellectual disability"	"cancer screening"	"randomised controlled trial (rct)"	"informed decision making"	"People with intellectual disability (PWID) are under-screened for cervical cancer in Australia. Through a qualitative process, this project seeks to identify facilitators and barriers to screening. A cluster randomised controlled trial will be undertaken to test the effectiveness of a co-designed, co-produced suite of resources designed to support informed decision making and increase access and uptake of screening in the National Cervical Screening Program for PWID."
2015286	2022-01-14	"Assoc Prof Jennifer Stone"	"Targeted Call for Research"	"2021 TCR - Participation in Cancer Screening Programs"	"BreastScreenPlus: A novel intervention targeting obesity-related barriers to mammographic screening"	"University of Western Australia"	"WA"	"University"	819444.7	"Public Health"	"public health and health services | epidemiology |"	"breast cancer"	"mammogram screening"	"obesity"	"intervention study"	"service delivery"	"Eight breast cancer deaths are prevented for every 1,000 women aged 50-74 years who undergo biennial mammographic screening. However, despite the demonstrated benefits of (free) screening, many women fail to return for screening when next due. This project will evaluate a novel intervention nested within BreastScreen WA to improve the screening experience for both obese women and service delivery staff and thereby, increase rescreening participation in women with obesity."
2015290	2022-01-14	"Prof Gail Garvey"	"Targeted Call for Research"	"2021 TCR - Participation in Cancer Screening Programs"	"A preference-informed model to improve access and equity in bowel screening for Australia’s First Nations people through home care services"	"University of Queensland"	"QLD"	"University"	994552.3	"Health Services Research"	"public health and health services | aboriginal and torres strait islander health |"	"indigenous health"	"cancer screening"	"bowel cancer screening"	"health services research"	"consumer preferences"	"Bowel cancer is the third-most common cancer affecting Aboriginal and Torres Strait Islander Australians. Participation in the National Bowel Cancer Screening Program by Aboriginal and Torres Strait Islander people is lower than for non-Indigenous Australians. This project aims to increase participation among the Aboriginal and Torres Strait Islander Home Care Clients by co-developing and implementing a bowel cancer screening program that is informed by their preferences and values."
2007402	2022-02-22	"Dr Skye McGregor"	"Partnership Projects"	"2021 Partnership Projects PRC2"	"Identifying the predictors and consequences of disparities in the uptake of HIV prevention and treatment programs in Australia: a national data linkage study"	"University of New South Wales"	"NSW"	"University"	1216847.15	"Public Health"	"public health and health services | epidemiology |"	"human immunodeficiency virus (hiv)"	"disease prevention"	"infectious diseases"	"sexual health"	"infectious diseases"	"We will create a national e-cohort of people with HIV, linking HIV diagnoses from 1997-2025 with nine other national datasets. This comprehensive dataset will enable us to achieve our aims of tracking and analysing: missed clinical opportunities for HIV testing, PrEP uptake and usage, HIV treatment uptake and adherence, and HIV-related morbidity and mortality. Outcomes will be used by Partner Organisations to develop tailored HIV programs, to achieve elimination of HIV transmission in Australia."
2013921	2022-02-22	"Prof Jason Grebely"	"Partnership Projects"	"2021 Partnership Projects PRC2"	"A national program to scale-up point-of-care hepatitis C testing and treatment"	"University of New South Wales"	"NSW"	"University"	1498085.85	"Health Services Research"	"clinical sciences | infectious diseases | public health and health services | epidemiology |"	"hepatitis c infection"	"liver disease"	"treatment strategies"	"access"	"treatment strategies"	"Hepatitis C testing and treatment has declined in Australia, slowing elimination progress. Our team evaluated a new point-of-care test for detection of active hepatitis C infection in one hour, enabling same-visit diagnosis and treatment. This test is now approved in Australia and has changed how testing and treatment can be delivered. This Partnership Project will evaluate a national program funded by the Australian government to scale-up point-of-care hepatitis C testing in Australia."
2014633	2022-02-22	"Prof Andreas Obermair"	"Partnership Projects"	"2021 Partnership Projects PRC2"	"A non-surgical alternative to hysterectomy for the treatment of endometrial cancer"	"University of Queensland"	"QLD"	"University"	739425	"Basic Science"	"oncology and carcinogenesis | solid tumours |"	"endometrial cancer"	"biomarkers"	"predictive"	"molecular biology"	"predictive"	"This project aims to develop a personalised treatment decision tool used to counsel endometrial cancer patients about their surgical and non-surgical (hormonal) treatment options. It will take into account key attributes of importance such as fertility preservation, risk of surgical morbidity, risk of relapse, genetic factors, quality of life, patient values and treatment preferences. This work is of critical importance for patients with early onset endometrial cancer, and for frail patients."
2014684	2022-02-22	"Prof Helen Marshall"	"Partnership Projects"	"2021 Partnership Projects PRC2"	"Novel strategies to improve protection for pregnant women and medically at risk children from influenza and COVID-19"	"University of Adelaide"	"SA"	"University"	964165.35	"Clinical Medicine and Science"	"public health and health services | health promotion |"	"pregnancy"	"young children"	"influenza"	"covid-19"	"influenza"	"Pregnant women and children with chronic medical conditions are at increased risk of hospitalisation, intensive care admission and death from influenza and COVID-19 infections. However, there appears to be a high level of vaccine hesitancy among women of reproductive age.  We will develop “nudge” interventions to improve influenza and COVID vaccine uptake among pregnant women and medically at risk children and test the effectiveness of the interventions using randomised controlled trials."
2014821	2022-02-22	"Prof Yun-Hee Jeon"	"Partnership Projects"	"2021 Partnership Projects PRC2"	"Optimising functional and social independence and safety of older people living with dementia in care homes: Implementation research"	"University of Sydney"	"NSW"	"University"	1206733.71	"Health Services Research"	"public health and health services | aged health care |"	"dementia care"	"rehabilitation"	"aged care"	"implementation"	"aged care"	"This program builds on true collaboration with the project partner organisations and decades of the research team's track records in promoting evidence informed best practice in dementia care, leveraging their extensive network of partners in research and the aged-care industry. The outcomes will inform researchers, service providers and policymakers working in the aged care sector about implementation of person centred, reablement approaches to dementia care, nationally and internationally."
2015197	2022-02-22	"Prof Gilles Guillemin"	"Targeted Call for Research"	"2021 TCR - Biotoxin-related Illnesses"	"An integrated platform for the early diagnosis and treatment of biotoxin-related illnesses in Australia like Chronic Inflammatory Response Syndrome"	"Macquarie University"	"NSW"	"University"	1063797	"Clinical Medicine and Science"	"clinical sciences | infectious diseases |"	"fungal infection"	"biomarkers"	"chronic inflammatory disease"	"fungal diagnosis"	"immune response"	"While many studies now suggest that living in dampness and mould can adversely affect the immune system in some people, few studies define tests that doctors could use to diagnose and treat affected individuals.  This research project will study both affected individuals and healthy controls, examining their blood, urine, and sweat along with other tests such as brain scans and environmental testing in their homes, in order to identify appropriate diagnostic tests that doctors can use."
2014696	2022-05-18	"Ms Joanne Hedges"	"Clinical Trials and Cohort Studies"	"2021 Clinical Trials and Cohort Studies"	"The Indigenous Australian HPV Cohort Study 2; continuation 5 to 10 years"	"The University of Adelaide"	"SA"	"University"	3107613.5	"Public Health"	"public health and health services | aboriginal and torres strait islander health |"	"indigenous australians"	"human papillomavirus (hpv)"	"cancer epidemiology"	"cohort study"	"cost-effectiveness"	"Continuing a large, representative Indigenous adult cohort through which to track oral HPV infection, monitor early throat cancer and estimate cost-effectiveness of extensive HPV vaccination coverage in culturally safe ways is essential to yield critical information to include in the management armamentarium of health and wellbeing recommendations for Australia’s First Peoples."
2014723	2022-05-18	"Assoc Prof Ruth Peters"	"Clinical Trials and Cohort Studies"	"2021 Clinical Trials and Cohort Studies"	"INTErGenerational intervention to Reduce fraIlTY trial (INTEGRITY)."	"University of New South Wales"	"NSW"	"University"	3711897.8	"Public Health"	"public health and health services | aged health care |"	"frailty"	"older people"	"multiple risk factors"	"community intervention"	"community participation"	"The recent ABC TV show ‘Old People’s Home For Four Year Olds’ shows on-screen benefits of bringing together older adults and pre-schoolers. This has enormous potential to benefit our ageing society and similar programs are becoming popular. but a TV show is not the same as everyday life. We now need to establish how these benefits work in a realistic everyday setting. We will test this using a community-based clinical trial: the INTErGenerational Intervention to Reduce fraIlTY trial (INTEGRITY)."
2014729	2022-05-18	"Assoc Prof Lexine Stapinski"	"Clinical Trials and Cohort Studies"	"2021 Clinical Trials and Cohort Studies"	"Making Inroads: RCT of a web-based early intervention to interrupt the vicious cycle of co-occurring anxiety and hazardous alcohol use among young adults"	"University of Sydney"	"NSW"	"University"	1295748.84	"Public Health"	"public health and health services | mental health |"	"anxiety"	"alcohol abuse"	"cognitive behaviour therapy"	"young adults"	"early intervention"	"Anxiety and alcohol disorders often co-occur, fueling each other in a self-perpetuating cycle. Early intervention is crucial to engage people with effective management strategies when problematic symptoms first emerge, and before anxiety and alcohol use disorders become entrenched. This study will evaluate the Inroads program, an online early intervention to empower young adults, enhance coping skills, and interrupt the vicious cycle between anxiety and hazardous alcohol use."
2014740	2022-05-18	"Assoc Prof Trisha Peel"	"Clinical Trials and Cohort Studies"	"2021 Clinical Trials and Cohort Studies"	"Duration of Cardiac Antimicrobial Prophylaxis Outcomes Study (CALIPSO): multicentre, adaptive, double-blind, three-arm, placebo-controlled, non-inferiority trial examining antimicrobial prophylaxis duration in cardiac surgery"	"Monash University"	"VIC"	"University"	4343709.1	"Clinical Medicine and Science"	"clinical sciences | infectious diseases | clinical sciences | surgery | clinical sciences | anaesthesiology |"	"prophylaxis"	"cardiac surgery"	"infection control"	"clinical trial"	"antimicrobial resistance"	"Infections following surgery lead to significant patient suffering and healthcare costs. The administration of antibiotics at the time of surgery is an important strategy to prevent infections. In patients undergoing heart surgery we do not know whether there is an additional benefit to giving longer courses of antibiotics following surgery to help prevent infections or if this will lead to patient harm, such as drug-resistant infections. This project will answer these important questions."
2014750	2022-05-18	"Assoc Prof Joanne Said"	"Clinical Trials and Cohort Studies"	"2021 Clinical Trials and Cohort Studies"	"PRECeDe: Prevention of neonatal Respiratory morbidity with antenatal corticosteroids prior to Elective Caesarean section in women with Diabetes: A Randomised trial"	"University of Melbourne"	"VIC"	"University"	3409951	"Clinical Medicine and Science"	"paediatrics and reproductive medicine | obstetrics and gynaecology |"	"caesarean section"	"neonatal respiratory distress syndrome"	"gestational diabetes"	"transient neonatal hyperglycaemia"	"corticosteroids"	"This research trial will determine whether giving corticosteroid injections to pregnant women with diabetes before elective Caesarean section between 35+0 and 39+6 weeks reduces the rate of breathing problems in their babies. We will study the short-term benefits and side effects in the mothers and babies, and also determine whether giving corticosteroid injections is good value for money."
2014763	2022-05-18	"Prof Assam El-Osta"	"Clinical Trials and Cohort Studies"	"2021 Clinical Trials and Cohort Studies"	"Epigenetic Protection Predicts Risk Diabetic Nephropathy (EPICENTRE)"	"Monash University"	"VIC"	"University"	4897328	"Clinical Medicine and Science"	"genetics | epigenetics (incl. genome methylation and epigenomics) |"	"diabetes mellitus"	"renal disease"	"diabetic nephropathy"	"dna methylation"	"epigenetics"	"Diabetes affects over 1 million Australians and disproportionately affects Indigenous Australians. We have established an international EPICENTRE consortium now seek to explore the potential role of epigenetic modifications to explain the development of diabetic renal disease. Over the last decade we have developed contemporary genomic technologies and new approaches that specifically characterise epigenetic modifications using overt renal disease as the primary outcome."
2014800	2022-05-18	"Prof Patrick Kwan"	"Clinical Trials and Cohort Studies"	"2021 Clinical Trials and Cohort Studies"	"Personalised Selection of Medication for Newly Diagnosed Adult Epilepsy – the PERSONAL Trial"	"Monash University"	"VIC"	"University"	2459115.8	"Clinical Medicine and Science"	"neurosciences | central nervous system |"	"epilepsy"	"decision support"	"antiepileptic drugs"	"randomised controlled trial (rct)"	"artificial neural networks"	"We have trained a machine learning prediction model that can assist neurologists to select the most effective initial antiseizure medication for individual patients with newly diagnosed epilepsy. We propose a randomised controlled trial (PERSONAL) to evaluate whether incorporating the machine learning model in initial drug selection can render more patients seizure-free compared to usual care. A total of 234 patients will be recruited from 14 epilepsy centres across all six states of Australia."
2014833	2022-05-18	"Assoc Prof Daniel McAullay"	"Clinical Trials and Cohort Studies"	"2021 Clinical Trials and Cohort Studies"	"A primary care provider intervention to improve early child neurodevelopment in Urban Aboriginal children"	"Edith Cowan University"	"WA"	"University"	2992864.4	"Health Services Research"	"public health and health services | aboriginal and torres strait islander health |"	"child development"	"aboriginal child"	"community child health"	"randomised controlled trial (rct)"	"maternal mental health"	"Despite a high level of developmental issues in Aboriginal babies, there has been no primary health care delivered early child development program starting in the first 4 weeks of life. We will address Aboriginal child’s development by improving primary health care’s ability to deliver child development services. We will do this by seeing if the CCD program commenced in the first 4-weeks of life will improves a child’s developmental needs in the first year of life."
2014841	2022-05-18	"Prof Philip Batterham"	"Clinical Trials and Cohort Studies"	"2021 Clinical Trials and Cohort Studies"	"The LifeTrack Project: Population-based longitudinal cohort study to understand suicidal transitions"	"Australian National University"	"ACT"	"University"	1062723.2	"Public Health"	"public health and health services | mental health |"	"suicide prevention"	"suicide risk"	"population-based"	"longitudinal cohort study"	"psychiatric epidemiology"	"We don't understand why some people who think about suicide go on to make a suicide attempt, while others recover. There have been very few studies following individuals at risk of suicide over an extended time period. We will test a group of people with suicidal thoughts for three years to work out whether there are certain types of people who are more resistant to suicide attempt. We will use the information from the study to identify new ways to reduce suicide risk in the population."
