"APP ID"	"Date Announced"	"CIA Name"	"Grant Type"	"Sub Type"	"Grant Title"	"Admin Institution"	"State"	"Sector"	"Total"	"Broad Research Area"	"Fields of Research"	"Res KW1"	"Res KW2"	"Res KW3"	"Res KW4"	"Res KW5"	"Plain Description"
2014868	2022-05-18	"Prof Gregory Fox"	"Clinical Trials and Cohort Studies"	"2021 Clinical Trials and Cohort Studies"	"The FLIRT-TB study: A fluoroquinolone-based regimen to treat the commonest form of drug-resistant tuberculosis"	"University of Sydney"	"NSW"	"University"	4773516	"Clinical Medicine and Science"	"clinical sciences | infectious diseases |"	"mycobacterium tuberculosis"	"drug resistance"	"infectious diseases"	"clinical trial"	"tuberculosis"	"Tuberculosis (TB) is an infectious respiratory disease affecting 10 million people each year worldwide. Resistance to isoniazid, one of the most important first-line antibiotics used to treat TB, leads to increased mortality and more advanced drug resistance. We will undertake the first clinical trial to evaluate the effectiveness of new-generation fluoroquinolones antibiotics in treating isoniazid-resistant TB. This trial will be conducted in Australia, Vietnam and Canada."
2014896	2022-05-18	"Prof Rachael Moorin"	"Clinical Trials and Cohort Studies"	"2021 Clinical Trials and Cohort Studies"	"Are calcium channel blockers associated with breast cancer? Assessing the impact of long-term use in large longitudinal cohorts"	"Curtin University"	"WA"	"University"	1107757	"Health Services Research"	"public health and health services | public health and health services not elsewhere classified |"	"breast cancer"	"pharmacoepidemiology"	"high blood pressure"	"data linkage"	"longitudinal cohort study"	"Breast cancer is the commonest cancer in women. Calcium channel blockers (CCBs) are frequently used worldwide to treat high blood pressure. A link between use of CCBs and breast cancer has been proposed with mixed findings in North American, European and Asian women. No data exist for Australian women or across populations. Since 1 in 8 Australian women will be diagnosed with breast cancer by age 85 years, it is important to determine whether this risk is increased by the use of CCBs."
2014899	2022-05-18	"Prof Megan Galbally"	"Clinical Trials and Cohort Studies"	"2021 Clinical Trials and Cohort Studies"	"Perinatal depression and antidepressants treatment: wave 7 follow up of the MPEWS longitudinal cohort study"	"The University of Notre Dame Australia"	"WA"	"University"	1585413.8	"Clinical Medicine and Science"	"clinical sciences | psychiatry (incl. psychotherapy) |"	"cohort study"	"longitudinal study"	"maternal depression"	"antidepressants"	"child development"	"When examining the longer term outcomes from pregnancy treatment with antidepressants on maternal depression and on child developmental outcomes, randomized controlled trials for antidepressants are not ethically possible and as such cohort data are required. Currently there remains uncertainty about antidepressant treatment in pregnancy for clinicians and women. We will address this gap in cohort studies through undertaking a follow up wave of a prospective longitudinal pregnancy cohort study."
2014900	2022-05-18	"Assoc Prof Asha Bowen"	"Clinical Trials and Cohort Studies"	"2021 Clinical Trials and Cohort Studies"	"SNAP-PY: Staphylococcus aureus Network Adaptive Platform trial for Paediatrics and Youth"	"University of Western Australia"	"WA"	"University"	2045957.4	"Clinical Medicine and Science"	"clinical sciences | infectious diseases |"	"staphylococcus aureus"	"antibiotic therapy"	"randomised controlled trial (rct)"	"bacteraemia"	"paediatric"	"Staphylococcus aureus is the most common cause of bloodstream infections resulting in hospital admission for children. The best antibiotic treatments for children are not known. The Staph aureus Network Adaptive Platform trial for Paediatrics and Youth (SNAP-PY) will find out the best antibiotic treatments for children and adolescents. This will optimise antibiotic treatment for children with Staph aureus bloodstream infections and reduce premature deaths."
2014930	2022-05-18	"Dr Danielle Wurzel"	"Clinical Trials and Cohort Studies"	"2021 Clinical Trials and Cohort Studies"	"Translatable Evidence To Improve Lung Health Outcomes In First Nations People – A Cohort Study From Birth to 6 Years"	"University of Melbourne"	"VIC"	"University"	3723567.8	"Public Health"	"cardiorespiratory medicine and heamatology | respiratory diseases | public health and health services | aboriginal and torres strait islander health | paediatrics and reproductive medicine | paediatrics |"	"lung function assessment"	"disease prevention"	"indigenous health"	"aboriginal child"	"cohort study"	"Good lung health as an adult depends on how healthy we are as children. Good lung health predicts future heart health and how long we live.  First Nations children have unacceptably high rates of lung disease which means poorer adult health. There are certain exposures or events in childhood that can be protective or damaging to our lungs. This research will look at a range of these exposures and events and study them in detail to discover ways to help improve the health of FirstN People."
2014932	2022-05-18	"Dr Lucia Romani"	"Clinical Trials and Cohort Studies"	"2021 Clinical Trials and Cohort Studies"	"Can mass drug administration reduce the incidence of adverse perinatal outcomes and other health consequences of endemic sexually transmitted infections? A community effectiveness trial"	"University of New South Wales"	"NSW"	"University"	2148887.9	"Public Health"	"public health and health services | pacific peoples health | public health and health services | preventive medicine | paediatrics and reproductive medicine | obstetrics and gynaecology |"	"population health"	"sexual health"	"gonorrhoea"	"chlamydia"	"clinical trial"	"Sexual and reproductive health is an urgent global public health priority in Fiji and the Pacific region, where curable sexually transmitted infections (STIs) are endemic. This world first trial will use mass drug administration with azithromycin to reduce the prevalence of chlamydia and gonorrhoeae in a population of >180,000 people in Fiji and will be the first to measure the effect of MDA on serious complications of STIs in the general population."
2014936	2022-05-18	"Prof Linda Mileshkin"	"Clinical Trials and Cohort Studies"	"2021 Clinical Trials and Cohort Studies"	"ICON9: A phase 3 randomised trial of cediranib and olaparib maintenance in patients with relapsed platinum sensitive ovarian cancer"	"University of Sydney"	"NSW"	"University"	494131.6	"Clinical Medicine and Science"	"oncology and carcinogenesis | cancer therapy (excl. chemotherapy and radiation therapy) |"	"oncology"	"clinical trial"	"ovarian cancer"	"targeted therapy"	"survival rate"	"In Australia ovarian cancer is the most common cause of gynaecological cancer death. Despite surgery and chemotherapy 80% of affected women have cancer relapse which is ultimately fatal.  This international randomised clinical trial examines if combining 2 targeted therapies, cediranib and olaparib tablets taken after finishing chemotherapy, will help women live longer without cancer progression. The trial  will complete recruitment in 2022 and this funding will ensure patient follow-up continues"
2014937	2022-05-18	"Assoc Prof Kristen Gibbons"	"Clinical Trials and Cohort Studies"	"2021 Clinical Trials and Cohort Studies"	"Resuscitation in Paediatric Septic Shock using Mega-Dose Vitamin C and Hydrocortisone - A Randomised Controlled Multicentre Trial (RESPOND study)"	"University of Queensland"	"QLD"	"University"	1305172.6	"Clinical Medicine and Science"	"paediatrics and reproductive medicine | paediatrics |"	"clinical trial"	"paediatric"	"septic shock"	"intensive care"	"ascorbic acid"	"Globally, a child dies from sepsis every 10 seconds; in Australia, a child dies every week. Many surviving children experience long term adverse outcomes. Australian states are implementing mandates for sepsis treatment. Yet, the evidence for sepsis treatment other than antibiotics is limited. We will perform an international study for children with sepsis which will test the use of mega-dose vitamin C and steroids - a promising treatment that has already shown some benefit in adults."
2014952	2022-05-18	"Prof Henry Brodaty"	"Clinical Trials and Cohort Studies"	"2021 Clinical Trials and Cohort Studies"	"Understanding intergenerational change in the health and well-being of older adults and its effects: The Sydney Memory and Ageing Study 2."	"University of New South Wales"	"NSW"	"University"	3304760.16	"Public Health"	"public health and health services | aged health care |"	"aged health"	"cognition"	"physical health"	"mental health"	"social health issues"	"Has there been a generational change in health of older Australians? We aim to compare the cognitive, physical, psychological and social health of current older Australians and those from 17 years ago. Each generation undergoes different experiences compared to previous ones; these can effect health.  We will repeat and expand (using new technology) on our 2005+ survey of 1037 70-90 year olds to answer this question. Answers will shed light on protective factors and inform health planning."
2014954	2022-05-18	"Assoc Prof Victoria Manning"	"Clinical Trials and Cohort Studies"	"2021 Clinical Trials and Cohort Studies"	"AAT-APP Trial: A RCT of alcohol approach-avoidance training to reduce heavy drinking in people with alcohol use disorders"	"Monash University"	"VIC"	"University"	948498.04	"Health Services Research"	"psychology | psychology not elsewhere classified | public health and health services | mental health |"	"alcohol use disorders"	"addiction treatment"	"impulsivity"	"health service utilisation"	"randomised controlled trial (rct)"	"When people undergoing alcohol treatment are given computerised training to avoid alcohol images, and approach positive images instead, it reduces their likelihood of relapsing. We have developed and tested the world’s first smartphone app that delivers a personalised version of this “approach/avoidance training” (“AAT-App”). We now aim to determine how effective AAT-App is at reducing alcohol use and craving in a large sample of people with alcohol dependence who are not receiving treatment."
2014960	2022-05-18	"Dr Ary Serpa Neto"	"Clinical Trials and Cohort Studies"	"2021 Clinical Trials and Cohort Studies"	"SODA-BIC: Sodium Bicarbonate For Decompensated Metabolic Acidosis in the Intensive Care Unit, A Multicentre, Randomised, Double-Blind Clinical Trial"	"Monash University"	"VIC"	"University"	1920486.6	"Clinical Medicine and Science"	"clinical sciences | intensive care |"	"intensive care"	"critical care medicine"	"metabolic acidosis"	"randomised controlled trial (rct)"	"clinical trial"	"Metabolic acidosis is a term that means that the blood is acidic. Patients with this condition are typically very ill and may die. No specific therapy exists, but sodium bicarbonate (a cheap and widely available drug) may improve the condition of these patients. We will randomly (like tossing a coin) treat severe patients with either sodium bicarbonate or inactive fluid given into a vein by continuous drip. We will compare the mortality rate and the use of haemodialysis within the first 30 days."
2014980	2022-05-18	"Prof Nicholas Lintzeris"	"Clinical Trials and Cohort Studies"	"2021 Clinical Trials and Cohort Studies"	"A randomised controlled trial of cannabidiol (CBD) in the treatment of cannabis dependence"	"University of Sydney"	"NSW"	"University"	2120137.8	"Clinical Medicine and Science"	"clinical sciences | clinical sciences not elsewhere classified | clinical sciences | psychiatry (incl. psychotherapy) | public health and health services | aboriginal and torres strait islander health |"	"cannabis"	"substance use disorders"	"randomised controlled trial (rct)"	"addiction treatment"	"aboriginal mental health"	"Cannabis use is increasing in Australia, yet there are few effective treatments for cannabis dependence. This study will evaluate cannabidiol (CBD) combined with counselling to reduce illicit cannabis use and improve health and social outcomes, compared to placebo in a randomised trial with 250 participants across services in NSW and Victoria. Aboriginal people comprise 20% of people in treatment for cannabis, and we will purposively examine their outcomes and experiences in the study."
2015020	2022-05-18	"Prof Mark Parsons"	"Clinical Trials and Cohort Studies"	"2021 Clinical Trials and Cohort Studies"	"Magnetic Resonance imaging outcomes in the Colchicine After Stroke to Prevent Event Recurrence (MR-CASPER) trial"	"University of New South Wales"	"NSW"	"University"	1535098.8	"Clinical Medicine and Science"	"cardiorespiratory medicine and heamatology | cardiology (incl. cardiovascular diseases) |"	"post-stroke dementia"	"ischaemic stroke"	"neuroinflammation"	"magnetic resonance imaging (mri)"	"cognition"	"MR-CASPER is a multi-centre, prospective, randomised, double-blind trial of the anti-inflammatory agent colchicine to prevent recurrent stroke and rapid progression of atherosclerotic disease. The trial uses novel, serial Magnetic Resonance Imaging (MRI) of the brain and cerebral blood vessels to measure outcomes alongside cognitive, mood and quality of life assessments. MR-CASPER will give crucial mechanistic insights into the effects of colchicine on brain and blood vessel inflammation."
2015060	2022-05-18	"Prof Simon Craig"	"Clinical Trials and Cohort Studies"	"2021 Clinical Trials and Cohort Studies"	"Childhood febrile convulsions - do treatment patterns determine the risk of early recurrence?"	"Monash University"	"VIC"	"University"	3490416.3	"Clinical Medicine and Science"	"clinical sciences | emergency medicine |"	"child health"	"emergency medicine"	"randomised controlled trial (rct)"	"seizures"	"caregivers"	"A febrile convulsion in a young child is incredibly stressful. Parents often think their child is dying. Currently, no specific treatment is offered to parents when their child is discharged from hospital. Our research, to be conducted across 25 hospitals, will compare the current \"wait and see\" approach to treatment recommendations for regular doses of paracetamol or ibuprofen to control fevers. We hope to test if the new treatment reduces the risk of more seizures occurring in the same illness"
2015100	2022-05-18	"Prof Bruce Campbell"	"Clinical Trials and Cohort Studies"	"2021 Clinical Trials and Cohort Studies"	"Accelerating clot lysis in ischemic stroke with dornase alfa in an Umbrella Bayesian Optimised Phase 2 trial"	"University of Melbourne"	"VIC"	"University"	1453336.7	"Clinical Medicine and Science"	"neurosciences | central nervous system |"	"ischaemic stroke"	"alternative thrombolytic agents"	"haematology"	"rural and remote health"	"telemedicine"	"Stroke remains a major cause of disability. Clot-dissolving medicines targeting fibrin can be rapidly delivered at most Australian hospitals. DNA extruded by white blood cells is another key structural component of clot. Dornase, an approved medicine for other diseases, dissolves DNA and we showed accelerated clot dissolving when combined with standard treatment. Our trial will test whether dornase can accelerate restoration of blood flow to improve outcomes in up to 300 patients with stroke."
2015133	2022-05-18	"Assoc Prof Neil Thomas"	"Clinical Trials and Cohort Studies"	"2021 Clinical Trials and Cohort Studies"	"Avatar-mediated therapy for hallucinations: superiority trial (AMETHYST)"	"Swinburne University of Technology"	"VIC"	"University"	1746774.2	"Clinical Medicine and Science"	"psychology | health, clinical and counselling psychology |"	"psychosis"	"schizophrenia and related disorders"	"cognitive behaviour therapy"	"clinical psychology"	"psychological treatment"	"Hearing hostile and critical voices is a highly distressing experience that characterises psychosis. Current treatments have limited impact, and more potent therapies are urgently needed. A promising new approach uses virtual reality technology to recreate the voices the person hears as digital avatars, used in therapy sessions to help overcome this experience. This clinical trial will determine whether this therapy offers a more powerful therapeutic option than current recommended treatment."
2015140	2022-05-18	"Dr Calum Roberts"	"Clinical Trials and Cohort Studies"	"2021 Clinical Trials and Cohort Studies"	"A Surfactant Treatment Method for Modern Neonatal Care: SURFactant by SUPraglottic Airway (The SURFSUP RCT)"	"Monash University"	"VIC"	"University"	1707835	"Clinical Medicine and Science"	"paediatrics and reproductive medicine | paediatrics |"	"very preterm birth"	"lung surfactant"	"neonatal respiratory distress syndrome"	"continuous positive airway pressure (cpap)"	"neonatal intensive care (nicu)"	"This trial will assess a new method of giving surfactant treatment into the lungs of premature babies with breathing difficulties. 'Supraglottic airway' are soft plastic devices that are easier to insert and more comfortable than current methods, which are challenging to learn and not possible for some neonatal units. We will test the effectiveness of supraglottic airway surfactant treatment, which will allow all babies who need surfactant to receive it in their birth hospital without delay."
2015146	2022-05-18	"Dr Ryan Courtney"	"Clinical Trials and Cohort Studies"	"2021 Clinical Trials and Cohort Studies"	"EFFECT OF A VAPORISED NICOTINE PRODUCT vs VARENICLINE ON SMOKING CESSATION FOR LOW-SOCIOECONOMIC STATUS SMOKERS: A RANDOMISED TRIAL"	"University of New South Wales"	"NSW"	"University"	2659251.03	"Health Services Research"	"public health and health services | public health and health services not elsewhere classified |"	"smoking cessation"	"smoking intervention"	"randomised controlled trial (rct)"	"intervention study"	"social disadvantage"	"Smoking cessation aids can support long-term smoking cessation, but quit rates from current approaches remain low. VNPs are one such approach that has shown some promise for cessation, but government and regulatory bodies have called for more trial evidence. Newer generation pod VNPs have not been evaluated in a clinical trial despite their popularity and wide use globally. Trial findings will have immediate practical applications and provide much needed evidence on a new alternative quit aid."
2015147	2022-05-18	"Prof Thomas Snelling"	"Clinical Trials and Cohort Studies"	"2021 Clinical Trials and Cohort Studies"	"ORVAC Stage 2 - Optimising Rotavirus Vaccine in Aboriginal Children: a double-blind, randomised, placebo-controlled, adaptive clinical trial of a third scheduled dose of oral rotavirus vaccine for Australian Aboriginal children."	"University of Sydney"	"NSW"	"University"	2561907.7	"Public Health"	"public health and health services | aboriginal and torres strait islander health |"	"rotavirus"	"diarrhoeal disease"	"vaccine strategy"	"aboriginal health"	"randomised controlled trial (rct)"	"Rotavirus can cause such bad diarrhoea in children that they need to be hospitalised. Aboriginal children in remote and rural parts of Australia are up to 20 times more likely to need hospitalisation with rotavirus than non-Indigenous children. There is a vaccine for rotavirus. Optimising Rotavirus Vaccination in Aboriginal Children (ORVAC) will test whether giving Aboriginal children aged 6-11 months an extra (booster) dose of rotavirus vaccine will give them better protection from rotavirus."
2015173	2022-05-18	"Dr Adrian Traeger"	"Clinical Trials and Cohort Studies"	"2021 Clinical Trials and Cohort Studies"	"NUDG-ED: Trial of behavioural ‘nudging’ interventions to reduce unnecessary care for low back pain in the Emergency Department"	"University of Sydney"	"NSW"	"University"	1119327.8	"Health Services Research"	"public health and health services | health promotion | clinical sciences | emergency medicine | public health and health services | health information systems (incl. surveillance) |"	"quality of care"	"low back pain"	"behavioural intervention"	"communications/social research"	"clinical trial"	"In 2018 over 120 000 people went to an emergency department in Australia because of low back pain. Most had 'simple' low back pain, where medical care such as diagnostic imaging (x-Ray, CT, MRI) and strong opioid medicines offer little benefit. Yet 3 in every 4 patients still received this kind of care. Unnecessary care can harm patients and diverts substantial resources from where they are most needed. This project tests a new way to reduce unnecessary care in Australian hospitals."
2015177	2022-05-18	"Prof Stuart Kinner"	"Clinical Trials and Cohort Studies"	"2021 Clinical Trials and Cohort Studies"	"Improving health outcomes in people with a dual diagnosis released from prison: a multi-jurisdictional, prospective cohort study"	"Murdoch Childrens Research Institute"	"VIC"	"Research Institutes"	1466784	"Health Services Research"	"public health and health services | mental health |"	"prison population"	"health inequalities"	"health service utilisation"	"data linkage"	"dual diagnosis"	"People released from prison have poor health and die at a rate much higher than the general community. Among this already vulnerable group, people with co-occurring mental health and substance use problems (‘dual diagnosis’) are particularly at risk. This study will examine health and health service outcomes for 4,232 adults released from prisons in QLD, WA, NSW and VIC, and followed for more than 9 years through data linkage. The findings will inform improvements to throughcare nationally."
2015203	2022-05-18	"Prof Gita Mishra"	"Clinical Trials and Cohort Studies"	"2021 Clinical Trials and Cohort Studies"	"Maternal and early life origins of adolescent menstrual disorders and pelvic pain"	"University of Queensland"	"QLD"	"University"	1475456	"Public Health"	"public health and health services | public health and health services not elsewhere classified | public health and health services | epidemiology |"	"menstruation"	"adolescent"	"dysmenorrhoea"	"maternal health"	"early childhood"	"Menstrual disorders – irregular, heavy, or painful periods – and pelvic pain are common among adolescent girls and disrupt life activities. Not enough is known about the maternal and early life factors linked with these conditions. This study addresses evidence gaps with new data on menstruation in adolescence, combined with previous data available from these girls and their mothers. The new knowledge on the development of these conditions will inform and guide their prevention and management."
2015208	2022-05-18	"Prof Sandra Eades"	"Clinical Trials and Cohort Studies"	"2021 Clinical Trials and Cohort Studies"	"‘The Next Generation Aboriginal Youth Cohort Study’: Co-designing a strengths-based study to identify evidence-based, culturally strong, implementable strategies to improve youth health outcomes"	"University of Melbourne"	"VIC"	"University"	2619818.8	"Public Health"	"public health and health services | aboriginal and torres strait islander health | public health and health services | epidemiology | public health and health services | public health and health services not elsewhere classified |"	"indigenous health"	"youth"	"wellbeing"	"aboriginal mental health"	"resilience"	"The project aims to undertake two waves of follow-up of young Aboriginal people from the 'Next Generation Youth Wellbeing study' in partnership with young people, their families and Aboriginal Community organisations. The study will examine changes in key health outcomes (social and emotional wellbeing, cardiovascular risk factors and avoidable injury) and factors that impact on those outcomes such as connection to culture, health behaviours and social challenges."
2015248	2022-05-18	"Assoc Prof Adrian Lowe"	"Clinical Trials and Cohort Studies"	"2021 Clinical Trials and Cohort Studies"	"Testing an implementable strategy to improve infant skin barrier to prevent asthma and preserve lung function: a 4-year follow-up of the existing PEBBLES RCT"	"University of Melbourne"	"VIC"	"University"	756239.42	"Public Health"	"public health and health services | preventive medicine |"	"allergy prevention"	"lung development"	"asthma"	"allergic airways disease"	"neonatal"	"We will test if improving the infant skin barrier by using daily regular skincare treatment can reduce early life asthma and lung function deficits. This trial may change infant skincare practices and reduce the amount of respiratory disease in our community. This is a follow-on study of our large NHMRC funded trial, testing if this intervention can improve skin barrier, and reduce the incidence of allergic sensitisation and food allergy."
