Sujeto de Apoyo,Nombre del Proyecto,Sector,Monto Autorizado MXN 
Universidad Nacional Autónoma de México - Instituto de Geografía,Proyecto de la revista Investigaciones Geográficas para la Convocatoria 2017 Fondo concursable para el posicionamiento nacional e internacional de revistas de ciencia y tecnología editadas en México.,Servicios Educativos,"120,000.00"
Centro de Investigación y Docencia Económicas A.C. (CIDE),Mejoramiento de políticas editoriales y traducción de interfaces del sitio web oficial de Política y gobierno,"Servicios Profesionales, Cientificos Y Tecnicos","120,000.00"
"Universidad La Salle Bajío, A.C.",Posicionamiento internacional de la Revista Nova Scientia.,Servicios Educativos,"110,000.00"
Universidad Nacional Autónoma de México - Instituto de Geología,Proceso de Aumento Sistemático de la Visibilidad de los Contenidos Históricos del Boletín de la Sociedad Geológica Mexicana.,Servicios Educativos,"128,173.22"
Universidad Nacional Autónoma de México - Instituto de Investigaciones Bibliotecológicas  y de la Información,"Consolidación de la gestión editorial y la visibilidad internacional de la revista Investigación Bibliotecológica. Archivonomía, Bibliotecología e Información.",Servicios Educativos,"119,994.02"
Instituto Nacional de Pediatría,Consolidación de Acta Pediátrica de México como Revista Referente de Difusión Científica y Tecnológica del Campo de la Pediatría en Latino América.,"Servicios Profesionales, Cientificos Y Tecnicos","113,471.00"
Universidad Nacional Autónoma de México - Instituto de Biología,Calidad y visibilidad para la RMB.,Servicios Educativos,"130,000.00"
Universidad Nacional Autónoma de México - Instituto de Investigaciones sobre La Universidad y La Educación,Incremento en el impacto y visibilidad de la Revista Iberoamericana de Educación Superior (RIES).,Servicios Educativos,"120,000.00"
Universidad Nacional Autónoma de México - Instituto de Investigaciones Filológicas,"Visibilidad e impacto internacional de la revista Literatura Mexicana: del papel y el PDF a los formatos electrónicos, XLM, HTML, e-Pub.",Servicios Educativos,"119,948.56"
Universidad de Ciencias y Artes de Chiapas,Incremento de la visibilidad e impacto internacional de la revista LiminaR. Estudios Sociales y Humanísticos. Un proyecto científico desde el sur.,Servicios Educativos,"120,000.00"
American Society for Biochemestry and Molecular Biology,Contrato de Prestacion de Servicios por Acceso en Linea y Acceso Perpetuo al Año Suscrito por las Publicaciones Autorizadas.,No disponible,"369,306.81"
Universidad Nacional Autónoma de México - Facultad de Estudios Superiores Iztacala,Revista Mexicana de Trastornos alimentarios: Un proyecto para su internacionalización.,Servicios Educativos,"91,896.00"
American Society of Civil Engineers,"Licencia no exclusiva revocable y no transferible para tener los derechos de  acceso perpetuo a los articulos, titulos y publicaciones electronicas de la editorial.",No disponible,"351,938.90"
"Turnitin, LLC",Licencia Limitada de las Herramientas para la Verificación de Originalidad y el Flujo de Trabajo por Escrito Pertenecientes al Prestador de Servicios.,No disponible,"6,404,750.99"
"Difusión de Avances de Enfermería, S.L.","Derechos de Acceso a los Articulos, Titulos y Publicaciones Electronicas.",No disponible,"813,812.50"
Ebsco International Inc.,"Derechos de Acceso a los Articulos, Titulos y Publicaciones Electronicas.",No disponible,"51,118,516.76"
E-Technologies Solutions Corp.,"Derechos de Acceso a los Articulos, Titulos y Publicaciones Electronicas.",No disponible,"3,589,712.65"
Universidad Autónoma Metropolitana - Unidad Azcapotzalco,Sociológica. Proyecto para postular al: Fondo Concursable para el Posicionamiento Nacional e Internacional de Revistas de Ciencia y Tecnología Editadas en México.,Servicios Educativos,"109,874.00"
Universidad Nacional Autónoma de México - Facultad de Ciencias Políticas y Sociales,Hacia la Internacionalizacion y Visibilidad de la Revista Mexicana de Ciencias Politicas y Sociales en Medios Digitales.,Servicios Educativos,"120,000.00"
"Consejo Mexicano de Investigación Educativa, A.C.",Plan de mejoramiento de procesos editoriales para la Revista Mexicana de Investigación Educativa.,"Servicios Profesionales, Cientificos Y Tecnicos","128,844.99"
Universidad Nacional Autónoma de México - Facultad de Ingeniería,"Estrategias de posicionamiento de la revista Ingeniería Investigación y Tecnología, en la ciencia de corriente principal: visibilidad, navegabilidad y política editorial.",Servicios Educativos,"120,000.00"
Universidad Nacional Autónoma de México - Facultad de Estudios Superiores Zaragoza,TIP Revista Especializada en Ciencias Químico - Biológicas: Estrategias y líneas de acción para reforzar la competencia internacional.,Servicios Educativos,"119,793.08"
Universidad Nacional Autónoma de México - Centro de Investigaciones sobre América Latina y el Caribe,Consolidación de la política editorial de la revista Latinoamérica. Revista de Estudios Latinoamericanos.,Servicios Educativos,"109,580.00"
Universidad Nacional Autónoma de México - Instituto de Investigaciones sobre La Universidad y La Educación,"Mejoramiento de la legibilidad, accesibilidad y visibilidad internacional de la revista Perfiles Educativos.",Servicios Educativos,"109,298.86"
"Colegio Mexicano de Inmunología Clínica y Alergia, A.C.",Proyecto de mejoras a la plataforma tecnológica y a los procesos de edición digital con el fin de incrementar la visibilidad y las posibilidades de citación a la revista Alergia México.,"Servicios Profesionales, Cientificos Y Tecnicos","118,706.76"
Universidad Nacional Autónoma de México - Centro de Geociencias,Gestión editorial de la Revista Mexicana de Ciencias Geológicas en Open Journal Systems e implementación de DOI.,Servicios Educativos,"60,900.00"
Universidad Michoacana de San Nicolás de Hidalgo,"Implementación de estrategias para aumentar de manera sustentable la calidad, visibilidad e impacto nacional e internacional de Tzintzun. Revista de Estudios Históricos.",Servicios Educativos,"119,720.00"
Universidad Autónoma del Estado de México,Identificación y posicionamiento web de los artículos de Convergencia Revista de Ciencias Sociales,Servicios Educativos,"30,152.26"
Universidad Nacional Autónoma de México - Instituto de Investigaciones Filológicas,"Consolidación de calidad, visibilidad e impacto internacional de la revista Estudios de Cultura Maya.",Servicios Educativos,"130,000.00"
Universidad de Guadalajara,"Espiral, internacionalización, etapa I.",Servicios Educativos,"105,297.58"
Instituto Nacional de Investigaciones Forestales Agrícolas y Pecuarias,Plan de mejoramiento integral de la Revista Mexicana de Ciencias Pecuarias.,AGRICULTURA GANADERIA APROVECHAMIENTO FORESTAL PESCA Y CAZA,"130,000.00"
Universidad Nacional Autónoma de México - Instituto de Investigaciones Jurídicas,Proyecto para la mejora del posicionamiento del Anuario Mexicano de Derecho Internacional a nivel internacional.,Servicios Educativos,"61,246.40"
Instituto Nacional de Investigaciones Forestales Agrícolas y Pecuarias,"Optimización de la visibilidad, mejoramiento de la navegabilidad web y reorganización de la política editorial de la Revista Mexicana de Ciencias Forestales.",AGRICULTURA GANADERIA APROVECHAMIENTO FORESTAL PESCA Y CAZA,"109,015.00"
Universidad de Guadalajara,Mejoramiento de la política editorial y optimización de la visibilidad y navegabilidad web de la revista Comunicación y Sociedad.,Servicios Educativos,"119,628.00"
"Asociación Mexicana de Mastozoología, A.C.",Proyecto de consolidación e incremento de la internacionalidad de la revista THERYA.,"Servicios Profesionales, Cientificos Y Tecnicos","118,708.52"
Universidad de Guanajuato,Mejora de política editorial y de visibilidad web de la revista Valenciana.,Servicios Educativos,"119,560.00"
Instituto Nacional de Investigaciones Forestales Agrícolas y Pecuarias,Plan de mejoramiento editorial y de posicionamiento de la Revista Mexicana de Ciencias Agrícolas.,AGRICULTURA GANADERIA APROVECHAMIENTO FORESTAL PESCA Y CAZA,"120,000.00"
Facultad Latinoamericana de Ciencias Sociales,Mejorar la política editorial de la revista Perfiles Latinoamericanos y optimizar la visibilidad y navegabilidad web.,Servicios Educativos,"119,809.61"
Colegio de Postgraduados,Plan de mejoramiento integral de procesos editoriales de la revista Agrociencia.,"Servicios Profesionales, Cientificos Y Tecnicos","129,652.00"
Centro de Investigación y Docencia Económicas A.C. (CIDE),Plan de mejora a corto plazo de la revista Gestión y Política Pública.,"Servicios Profesionales, Cientificos Y Tecnicos","115,524.00"
Instituto Politécnico Nacional,"Adquisición de competencias técnicas en edición de la Revista Computación y Sistemas, orientada a mejorar la calidad y visibilidad de la revista.",Servicios Educativos,"130,000.00"
Universidad de Guadalajara,"Fortalecimiento y mejora de la calidad, visibilidad e impacto de Apertura, Revista de Innovación Educativa.",Servicios Educativos,"119,621.38"
Universidad Autónoma de Baja California,Mejora del posicionamiento internacional y visibilidad de la REDIE.,Servicios Educativos,"81,260.00"
Instituto de Ciencias Jurídicas de Puebla A.C.,Mejoramiento de procesos editoriales de la revista IUS a partir del ajuste de la política editorial y uso de sistemas electrónicos para la gestión editorial.,No disponible,"109,929.46"
"Sociedad Mexicana de Ingenieria Sismica, A.C.","Estrategias para la mejora de la calidad, visibilidad e impacto de la Revista de Ingeniería Sísmica.",Ninguna,"119,649.00"
Academia Mexicana de Neurología,Revista Mexicana de Neurociencia: Proyecto de mejoras en el impacto y visibilidad.,Servicios Educativos,"117,853.76"
Instituto Mexicano de Tecnología del Agua,Mejora de la legibilidad digital del contenido. Mayor accesibilidad y visibilidad de la revista Tecnología y Ciencias del Agua.,"Servicios Profesionales, Cientificos Y Tecnicos","118,865.88"
Universidad Nacional Autónoma de México - Instituto de Geofísica,Posicionamiento y vigencia de Geofísica Internacional: mejoras editoriales.,Servicios Educativos,"128,760.00"
Academia Nacional de Medicina de México,"Creación de sitio web específico para Gaceta Médica de México, así como implementación de DOI para todos sus manuscritos aprobados.","Servicios Profesionales, Cientificos Y Tecnicos","90,000.00"
Universidad Autónoma del Estado de México,Proyecto de la Revista Papeles de Población en su versión en inglés.,Servicios Educativos,"118,951.08"
Instituto de Ecología A.C. (INECOL),Posicionar y promover el nombre de la revista Scientia Fungorum (ex Revista Mexicana de Micología) en bases de datos internacionales.,"Servicios Profesionales, Cientificos Y Tecnicos","119,780.00"
Instituto de Ecología A.C. (INECOL) - Centro Regional del Bajío,Hacia una posición líder de Acta Botanica Mexicana entre las revistas botánicas latinoamericanas.,"Servicios Profesionales, Cientificos Y Tecnicos","123,160.00"
Instituto de Ecología A.C. (INECOL),Revista Madera y Bosques. Plan de Desarrollo a corto y mediano plazo,"Servicios Profesionales, Cientificos Y Tecnicos","130,000.00"
V2 Services S. de R.L. de C.V.,Acceso a Bases de Datos y Recursos Informáticos.,No disponible,"3,214,551.49"
The Optical Society,"Derechos de acceso a los articulos, titulos y publicaciones electronicas de la editorial.",No disponible,"662,579.16"
Oxford University Press USA,"Derechos de acceso y el derecho perpetuo a los articulos, titulos y publicaciones de la Editorial.",No disponible,"7,016,997.35"
IOP Business Publishing,"Acceso a Bases de Datos y Recursos Informáticos, Derechos de Acceso a los Articulos, Titulos y Publicaciones Electronicas.",No disponible,"12,093,737.77"
El Colegio de México A.C.,Mecanismos de evaluación de CONACYT,"Servicios Profesionales, Cientificos Y Tecnicos","904,800.00"
Cámara Nacional de la Industria de la Cerveza y de la Malta,Fomento a la Investigación 2016 a la Industria de la Cerveza y la Malta.,Ninguna,"278,400.00"
Elsevier B.V.,Acceso a la Colección Freedom y Scopus,No disponible,"390,978,222.75"
Ebsco International Inc.,"Derechos de Acceso y el Derecho Perpetuo a los Articulos, Titulos y Publicaciones Electronicas de la Editorial y Derecho Perpetuo del Contenido Pagado Siempre que las Revistas Sean Publicadas por Mit Press Journals",No disponible,"231,372.30"
The International Society for Optics And Photonics,Acceso a Bases de Datos y Recursos Informáticos,No disponible,"2,504,124.94"
Chemical Abstract Service,Acceso a Bases de Datos y Recursos Informáticos,No disponible,"15,063,243.16"
E-Technologies Solutions Corp.,"Derechos de Acceso a los Articulos, Titulos y Publicaciones Electronicas.",No disponible,"3,433,972.29"
BioOne,"Derechos de Acceso a los Articulos, Titulos y Publicaciones Electronicas.",No disponible,"7,621,664.06"
Universidad Nacional Autónoma de México - Dirección General de Cómputo y de Tecnologías de Información y Comunicación y Dirección General de Bibliotecas,Fase IV del portal del sistema de clasificación de Revistas Mexicanas de ciencia y tecnología del CONACYT.,Servicios Educativos,"13,120,000.00"
Organización para la Cooperación y el Desarrollo Económicos (OCDE),"Derechos de acceso vitalicio e irrovocable a los articulos con licencia, titulos y publicaciones en linea que pertenecen a la OCDE",No disponible,"4,200,298.33"
Ebsco International Inc.,"Derechos de Acceso a los Articulos, Titulos y Publicaciones Electronicas. Contratacion de Dentistry And Oral Sciences Source",No disponible,"621,572.10"
Annual Reviews,"Derechos de Acceso a los Articulos, Titulos y Publicaciones Electronicas.",No disponible,"7,315,998.42"
Dot Lib Information Llc,"Derechos de Acceso y el Derecho Perpetuo a los Articulos, Titulos y Publicaciones Electronicas de la Editorial. S. Karger Ag Medical And Scientific Publisher.",No disponible,"587,742.75"
World Scientific Publishing Pte Ltd,"Derechos de acceso y el derecho perpetuo a los articulos, titulos y publicaciones electronicas de la editorial.",No disponible,"1,147,837.50"
The Royal Society,Acceso en Linea a las Publicaciones Autorizadas.,No disponible,"6,202,395.14"
American Chemical Society,"Derechos de Acceso a los Articulos, Titulos y Publicaciones Electronicas de la ""Editorial""",No disponible,"24,827,634.95"
American Medical Association,"Derechos de Acceso y el Derecho Perpetuo a los Articulos, Titulos y Publicaciones Electronicas de la Editorial.",No disponible,"4,230,716.64"
The Institution of Engineering and Technology,Derechos de acceso y el derecho perpetuo a los libros electronicos autorizados y archivo de revistas cientificas contenidos en la colleccion IET Digital Lybrary.,No disponible,"1,363,161.75"
American Society for Microbiology,"Derechos de Acceso a los Artículos, Títulos y Publicaciones de la Editorial.",No disponible,"1,000,294.15"
The Rockefeller University Press,"Derechos de acceso a los articulos, titulos y publicaciones electronicas de la editorial.",No disponible,"239,386.74"
ASTM International,Contrato de Prestacion de Servicios por Acceso en Linea y Acceso Perpetuo al Año Suscrito por las Publicaciones Autorizadas.,No disponible,"1,818,313.01"
"Infoestratégica latina, S.A. de C.V.",Acceso a Bases de Datos y Recursos Informáticos. Cabi Publishing,No disponible,"3,893,215.44"
"Infoestratégica latina, S.A. de C.V.",Acceso a Bases de Datos y Recursos Informáticos. Up Todate,No disponible,"8,428,618.92"
Centro de Investigación e Innovación en Tecnologías de la Información y Comunicación (INFOTEC),Usos y Aplicaciones del Conocimiento y la Tecnología para Promover la Inclusión Social y el Combate contra la Pobreza en México. Segunda Edición.,"Servicios Profesionales, Cientificos Y Tecnicos","5,700,000.00"
University of Chicago Press,"Acceso Electronico a Publicaciones Autorizadas, University of Chicago Press",No disponible,"2,087,208.40"
Colegio de Postgraduados,Consolidación de COLPOS Digital.,"Servicios Profesionales, Cientificos Y Tecnicos","1,000,000.00"
Cambridge University Press,"Acceso a las Publicaiones Autorizadas contratadas por suscripción anual y el derecho perpetuo a los articulos, titulos y publicaciones electronicas de la editorial.",No disponible,"11,544,378.16"
Universidad Nacional Autónoma de México - Centro de Investigaciones sobre América del Norte,"Creación del Repositorio Institucional del Centro de Investigaciones sobre Américadel Norte (CISAN), UNAM.",Servicios Educativos,"924,264.00"
Universidad de las Americas Puebla,"Repositorio Institucional UDLAP: Un Ambiente Abierto para Construir, Compartir y Visualizar Conocimiento Universitario.",Servicios Educativos,"988,415.00"
Universidad Nacional Autónoma de México - Instituto de Investigaciones sobre La Universidad y La Educación,Creación del Repositorio Institucional del IISUE de la UNAM,Servicios Educativos,"736,750.00"
Universidad Iberoamericana A.C.,Proyecto de Consolidación del Repositorio Institucional de la Universidad Iberoamericana,Servicios Educativos,"487,680.00"
Universidad Politécnica de Puebla,Estrategia de Gestión de Conocimientos para Repositorios Institucionales con Acceso Abierto basada en Representaciones Semánticas y TICS.,Servicios Educativos,"1,000,000.00"
Universidad de Sonora,Proyecto de Creación del Repositorio Institucional de la Universidad de Sonora.,Servicios Educativos,"792,900.00"
"Centros Culturales de México, A.C.",Repositorio Institucional Scripta de la Universidad Panamericana.,Servicios Educativos,"737,259.00"
Universidad Nacional Autónoma de México - Instituto de Investigaciones Bibliotecológicas  y de la Información,Propuesta para la creación del Repositorio Institucional del Instituto de Investigaciones Bibliotecológicas y de la Información de la Universidad Nacional Autónoma de México. (Repositorio IIBI),Servicios Educativos,"340,160.00"
Universidad Autónoma del Estado de México,Consolidación del Repositorio Institucional de la Universidad Autónoma del Estado de México.,Servicios Educativos,"988,000.00"
Centro Internacional de Mejoramiento de Maíz y Trigo,"Repositorio de Publicaciones Multimedia, Datos y Software Científicos del CIMMYT.",Servicios De Salud Y De Asistencia Social,"1,000,000.00"
Universidad Tecnológica del Centro de Veracruz,REINI-UTCV (Repositorio Institucional de Investigación de la Universidad Tecnológica del Centro de Veracruz).,Servicios Educativos,"987,529.00"
Centro de Investigación Científica de Yucatán A.C. (CICY),Modificación del genoma de plantas superiores usando CRISPR/Cas9 para estudiar la diferenciación celular.,"Servicios Profesionales, Cientificos Y Tecnicos","3,650,000.00"
Centro de Investigación en Química Aplicada (CIQA),"Nano-catalizadores basados en Aluminoxano- Síntesis, Caracterización y Aplicaciones en la Polimerización por Catálisis",Ninguna,"1,705,000.00"
Instituto Potosino de Investigación Científica y Tecnológica A.C. (IPYCIT),Identificación y validación de la función de moléculas efectoras de naturaleza proteica y nucleotídica de microorganismos benéficos y plantas para establecer una relación benéfica,Servicios Educativos,"3,559,000.00"
Universidad Autónoma de Tlaxcala,"Biodegradación de plastificantes empleando hongos: purificación, caracterización, y mecanismos cuánticos de la catálisis de las enzimas cutinasas.",Servicios Educativos,"2,969,274.00"
Centro de Investigación y de Estudios Avanzados del Instituto Politécnico Nacional - Unidad Irapuato,Integrando ómicas para obtener conocimiento de frontera: El fruto como modelo de desarrollo de redes funcionales durante el proceso de domesticación.,Servicios Educativos,"3,614,200.00"
Centro de Investigación Científica de Yucatán A.C. (CICY),Estudio funcional de la fibrilarina en la progresión viral en plantas.,"Servicios Profesionales, Cientificos Y Tecnicos","2,978,565.00"
Centro de Investigación y de Estudios Avanzados del Instituto Politécnico Nacional,"Sistema de comunicación eléctrica silente entre sinapsis químicas en el sistema nervioso central: activación, desactivación, interacción y función.",Servicios Educativos,"2,968,000.00"
Instituto Nacional de Astrofísica Óptica y Electrónica (INAOE),"Investigación y desarrollo de una Plataforma de integración Fotónica en Silicio: Materiales Nanoestructurados, Elementos Activos y Pasivos y circuitos CMOS .",Servicios Educativos,"3,795,000.00"
Centro de Investigación en Alimentación y Desarrollo A.C. (CIAD),Condiciones sociales y laborales y su efecto en los patrones de alimentación y riesgo cardiometabólico en mujeres de origen mexicano residentes en dos localidades urbanas de la frontera México-Estados Unidos,"Servicios Profesionales, Cientificos Y Tecnicos","1,920,868.00"
Universidad de Guanajuato,Neurociencia Computacional: de la teoría al desarrollo de sistemas neuromórficos.,Servicios Educativos,"2,550,000.00"
Instituto Nacional de Medicina Genómica,"Descifrando el oncogenoma de la recaída y muerte temprana y el establecimiento de nuevos paradigmas en la farmacogenómica de la leucemia linfoblástica aguda de edad pediátrica.	INSTITUTO NACIONAL DE","Servicios Profesionales, Cientificos Y Tecnicos","2,803,000.00"
Centro de Investigación Científica y de Educación Superior de Ensenada B.C. (CICESE),Interfaces cerebrales en autismo,Servicios Educativos,"947,800.00"
Instituto Nacional de Astrofísica Óptica y Electrónica (INAOE),Fuerza de atracción textual: hacia un nuevo paradigma de clasificación de documentos.,Servicios Educativos,"1,211,006.00"
Universidad Autónoma de Ciudad Juárez,"Modelado del estrés laboral, obesidad ymolestias musculoesqueléticas para generar estrategias de Desarrollo Humano y Organizacional",Servicios Educativos,"930,000.00"
Benemérita Universidad Autónoma de Puebla,Gradientes de deformación para controlar dominios en materiales ferromagnéticos y ferroeléctricos.,Servicios Educativos,"3,998,600.00"
Centro de Investigación y de Estudios Avanzados del Instituto Politécnico Nacional - Unidad de Genómica Avanzada,Aprovechando la biodiversidad de drosophilas endemicas de mexico para descubrir nuevos genes involucrados en enfermedades metabolicas.,Servicios Educativos,"2,968,000.00"
Instituto Nacional de Medicina Genómica,"Neurociencias de sistemas en el estudio del control del balance energético a través de los distintos relojes hipotalámicos: Integración de respuestas neuronales, fisiológicas y metabólicas.","Servicios Profesionales, Cientificos Y Tecnicos","2,947,264.00"
Centro de Investigación y de Estudios Avanzados del Instituto Politécnico Nacional,Ampliando fronteras en la fisiopatología y la terapéutica molecular del dolor neuropático.,Servicios Educativos,"3,460,000.00"
Universidad de Guanajuato,Construcción de un acelerador de electrones de 5 MeV para aplicaciones industriales y de Investigación.,Servicios Educativos,"4,000,000.00"
Universidad Autónoma Agraria Antonio Narro,"Consolidación del Repositorio Institucional CID-UAAAN, para la difusión Científica y Tecnológica, en el Marco de la Mejora Continua de Repositorios de Acceso Abierto.",Servicios Educativos,"1,000,000.00"
Universidad de Quintana Roo,Creación del Repositorio Digital de Acceso Abierto de la Universidad de Quintana Roo.,Servicios Educativos,"434,120.00"
Universidad Autónoma Metropolitana - Unidad Lerma,"Construcción del Repositorio Institucional de la Universidad Autónoma Metropolitana, Unidad Lerma",Servicios Educativos,"999,998.00"
Universidad Nacional Autónoma de México - Centro de Ciencias Genómicas,Causas genómicas del desequilibrio en PSA -proporción de sexos en adultos- en tetrápodos,Servicios Educativos,"3,000,003.00"
Universidad Nacional Autónoma de México - Instituto de Biotecnología,Hacia el relajamiento de las restricciones de linaje de células posmitóticas del sistema nervioso central.,Servicios Educativos,"3,384,000.00"
Universidad Nacional Autónoma de México - Instituto de Investigaciones en Materiales,"Captura de CO2, CO, SO2 y NO2 en MOFs así como su Aplicación en Transformaciones Catalíticas de CO2 en Carbonatos Orgánicos",Servicios Educativos,"3,118,944.00"
Universidad Nacional Autónoma de México - Instituto de Investigaciones Biomédicas,Un enfoque desde la optogenética y quimio genética para investigar los mecanismos que desencadenan el desarrollo de enfermedades metabólicas.,Servicios Educativos,"2,770,000.00"
Universidad Nacional Autónoma de México - Instituto de Investigaciones Estéticas,El Universo de los Guerreros: consagración y profanación de los espacios rituales El Tajín (ca.850-1150 d.C.).,Servicios Educativos,"3,700,000.00"
Instituto Nacional de Astrofísica Óptica y Electrónica (INAOE),Censos panorámicos profundos del cielo a 1.1/1.4/2.1mm con la nueva cámara polarimétrica TolTEC,Servicios Educativos,"3,150,000.00"
Universidad Nacional Autónoma de México - Instituto de Biología,Procesos macroevolutivos de diversificación en cinco clados vegetales hiperdiversos,Servicios Educativos,"3,646,375.00"
Universidad Nacional Autónoma de México - Instituto de Matemáticas,"Intercambiabilidad, divisibilidad infinita, cambios de tiempo y estructuras combinatorias de gran tamaño.",Servicios Educativos,"1,414,346.00"
Universidad Nacional Autónoma de México - Centro de Ciencias Aplicadas y Desarrollo Tecnológico,Modulación de interacciones molécula/substrato en dispositivos nanoestructurados.,Servicios Educativos,"3,485,000.00"
Universidad Nacional Autónoma de México - Instituto de Ingeniería,Extracción léxica multilingüe para lenguas de escasos recursos y su aplicación a las lenguas mexicanas,Servicios Educativos,"2,472,289.00"
Universidad Nacional Autónoma de México - Instituto de Biotecnología,La respuesta antiviral es responsable de la microcefalia inducida por el virus del zika: la función de los factores reguladores del interferón en la inhibición de la diferenciación neuronal.,Servicios Educativos,"3,075,000.00"
Universidad Autónoma de San Luis Potosí,Transporte electrónico en hilos cuánticos bifurcados.,Servicios Educativos,"3,434,000.00"
Universidad Autónoma de San Luis Potosí,Dispositivos y sistemas de fibra óptica basados en microfibras: Aplicaciones en la región espectral de 2 micras.,Servicios Educativos,"4,000,000.00"
Instituto Tecnológico y de Estudios Superiores de Monterrey - Campus Monterrey,Cáncer en un chip: Medicina personalizada del cáncer y evaluación de fármacos anti-cáncer en micro-dispositivos continuos,"Servicios Profesionales, Cientificos Y Tecnicos","2,316,662.00"
Instituto Tecnológico y de Estudios Superiores de Monterrey - Campus Monterrey,Aumento de la visibilidad del Ritec mejorando la experiencia del usuario y su Interoperabilidad con el Repositorio Nacional.,"Servicios Profesionales, Cientificos Y Tecnicos","950,000.00"
Wiley Subscription Services Inc.,"Derechos de acceso a los articulos, titulos y publicaciones electronicas de la Editorial.",No disponible,"65,488,690.98"
Ebsco International Inc.,"Derechos de Acceso a los Articulos, Titulos y Publicaciones Electronicas. Ebsco International Inc Representante Exclusivo de la Editorial Sage",No disponible,"5,254,822.54"
"Taylor and Francis Group, LLC.",Acceso a la Colección de Hournals de Taylor & Francis Group,No disponible,"1,383,751.54"
Ovid Technologies,"Derechos de acceso a los articulos, titulos y publicaciones de la editorial.",No disponible,"33,270,580.59"
Universidad Nacional Autónoma de México - Instituto de Neurobiología,Evaluación no invasiva de la micro-estructura del tejido nervioso mediante resonancia magnética.,Servicios Educativos,"2,447,000.00"
Universidad Autónoma Metropolitana - Unidad Iztapalapa,Antioxidantes Multifuncionales: del Diseño Computacional a la Aplicación Práctica.,Servicios Educativos,"3,873,240.00"
Universidad Autónoma de San Luis Potosí,Interacciones entre canales iónicos y lípidos en la membrana plasmática.,Servicios Educativos,"3,300,000.00"
Universidad Nacional Autónoma de México - Instituto de Fisiología Celular,Optogenética: visualización y evaluación de los subcircuitos del control motor in vivo.,Servicios Educativos,"3,850,000.00"
Universidad Nacional Autónoma de México - Instituto de Ciencias Nucleares,Biomarcadores de salud y enfermedad a través del análisis de series de tiempo fisiológicas.,Servicios Educativos,"2,807,400.00"
Instituto Nacional de Salud Pública,"Interacciones biológicas, moleculares y genéticas participantes en la integración funcional de Triatoma pallidipennis y su microbiota intestinal.","Servicios Profesionales, Cientificos Y Tecnicos","2,733,606.00"
Universidad Autónoma de Nuevo León,Diseño de Agentes Terapéuticos Sintético-Vivos y Dinámicos Mediante Procesos Sostenibles para Combatir Bacterias Multiresistentes.,Servicios Educativos,"3,500,000.00"
