Sujeto de Apoyo,Nombre del Proyecto,Sector,Monto Autorizado MXN 
Universidad Nacional Autónoma de México - Instituto de Ciencias Nucleares,"Generación, manipulación y aprovechamiento de luz no clásica mediante técnicas avanzadas de fibra óptica.",Servicios Educativos,"4,000,000.00"
Universidad Nacional Autónoma de México - Instituto de Neurobiología,Disección del sistema canabinérgico: efectos sobre la dinámica neuronal de los ganglios basales durante la enfermedad de Párkinson y sus implicaciones terapéuticas.,Servicios Educativos,"3,528,580.00"
Instituto Nacional de Estadística Geografía e Informática,Encuesta sobre la Percepción Pública de la Ciencia y la Tecnología en México (ENPECYT) 2017,No disponible,"9,750,689.40"
Instituto Nacional de Estadística Geografía e Informática,Encuesta sobre Investigación y Desarrollo Tecnológico (ESIDET) 2017,No disponible,"47,676,000.00"
El Colegio de México A.C.,Programa de Becas.,Servicios Educativos,"3,000,000.00"
Instituto Nacional de Ciencias Médicas y Nutrición Salvador Zubiran,Determinantes Moleculares del Fenotipo y Función de Células T Reguladoras Periférica.,Servicios De Salud Y De Asistencia Social,"3,194,000.00"
Universidad Autónoma de Nuevo León,Nuevos Conceptos de Equilibrio Para Oligopolio Mixto.,Servicios Educativos,"1,449,500.00"
Instituto Politécnico Nacional,"Descifrando los mecanismos de antagonismo que emplea la bacteria Bacillus cereus sensu lato cepa B5 para inhibir el crecimiento del hongo fitopatógeno Fusarium verticillioides causante de pudriciones de raíz, tallo y mazorca en maíz",Servicios Educativos,"3,302,389.00"
Instituto Nacional de Electricidad y Energías Limpias,"Repositorio Institucional de Acceso Abierto de Información Científica, Tecnológica y de Innovación del INEEL.","Servicios Profesionales, Cientificos Y Tecnicos","975,200.00"
Instituto Politécnico Nacional,"Repositorio de Acceso Abierto a la Información Científica, Tecnológica y de Innovación del Centro de Biotecnología Genómica del IPN: Doctorado en Ciencias en Biotecnología en Red del IPN",Servicios Educativos,"800,080.00"
Universidad Autónoma Metropolitana - Unidad Cuajimalpa,Propuesta para la Creación de un Repositorio Institucional en la UAM Unidad Cuajimalpa,Servicios Educativos,"830,000.00"
Instituto Politécnico Nacional,"Creación del Repositorio de Acceso Abierto Institucional UPIICSA-IPN para la Preservación y Divulgación de Productos y Materiales Educativos, de Investigación y Desarrollo Tecnológico.",Servicios Educativos,"759,074.00"
Universidad Nacional Autónoma de México - Instituto de Geofísica,Repositorio de Recursos Geotérmicos para México.,Servicios Educativos,"505,000.00"
Universidad Nacional Autónoma de México - Instituto de Química,"Repositorio de Química: Estructura Química, Reactividad, Síntesis, Actividad Biológica y Biodiversidad.",Servicios Educativos,"997,892.00"
Universidad de Guadalajara,Gestión del conocimiento en el sector público.,Servicios Educativos,"1,121,000.00"
Instituto Tecnológico de Morelia,Investigación de la Utilidad de Tomografía de Impedancia Eléctrica Cuantitativa para Medición y Modelado de Dispersión de Medicamentos Quimioterapéuticos en Tejido Mamario.,Servicios Educativos,"3,868,492.00"
Universidad Nacional Autónoma de México - Instituto de Energías Renovables,Mejoramiento de la estabilidad de celdas solares de perovskita híbrida mediante la modificación química de la capa activa y el uso de semiconductores inorgánicos en las capas transportadoras de carga.,Servicios Educativos,"3,334,000.00"
Universidad Nacional Autónoma de México - Centro de Ciencias de la Atmósfera,Impacto del Aerosol Marino y de la Quema de Biomasa en la Formación de Nubes Frías y en los Patrones de Precipitación.,Servicios Educativos,"2,612,000.00"
Universidad Nacional Autónoma de México - Instituto de Investigaciones Sociales,Jóvenes de identidades diversas en dinámicas metropolitanas.,Servicios Educativos,"2,162,000.00"
Emerald Publishing Group Ltd,"Derechos de Acceso y el Derecho Perpetuo a los Articulos, Titulos y Publicaciones Electronicas de la Editorial.",No disponible,"14,163,748.14"
Nature Publishing Group,"Derechos de Acceso a los Artículos, Títulos y Publicaciones Electrónicas de la ""Editorial"".",No disponible,"16,798,853.64"
"Springer Customer Service Center, LLC",Acceso a la Colección de Libros Electrónicos de SPRINGER,No disponible,"75,992,931.37"
American Physiological Society,"Derechos de Acceso y el Derecho Perpetuo a los Articulos, Titulos y Publicaciones Electronicas de la Editorial.",No disponible,"363,483.94"
Association for Computing Machinery,"Derechos de Acceso a los Articulos, Titulos y Publicaciones Electronicas.",No disponible,"4,174,176.35"
Walter de Gruyter Inc,"Derechos de acceso y el derecho perpetuo a los articulos, titulos y publicaciones de la editorial.",No disponible,"674,601.57"
"3DVisioMedicaVirtual, S.L.","Derechos de acceso a los artículos, títulos y publicaciones electrónicas de la Editorial.",No disponible,"1,251,401.32"
American Mathematical Society,"Derechos de acceso a los artículos, títulos y publicaciones electrónicas de la Editorial.",No disponible,"2,734,976.70"
"Global Comunications Systems, S.A. de C.V.","Derechos de acceso a los artículos, títulos y publicaciones electrónicas de la Editorial. Colleccion de Proquest Dissertatión",No disponible,"7,016,086.93"
"Cengage Learning Editores, S.A. de C.V.","Derechos de Acceso a los Articulos, Titulos y Publicaciones Electronicas.",No disponible,"14,680,103.59"
The Royal Society of Chemistry,"Derechos de Acceso a los Articulos, Titulos y Publicaciones Electronicas.",No disponible,"11,083,260.06"
Ebsco International Inc.,"Derechos de Acceso a los Articulos, Titulos y Publicaciones Electronicas. E-Libro Corporation",No disponible,"1,038,673.68"
"Springer Customer Service Center, LLC","Derechos de Acceso a los Articulos, Titulos y Publicaciones Electronicas.",No disponible,"32,400,355.79"
Ebsco International Inc.,"Derechos de Acceso a los Articulos, Titulos y Publicaciones Electronicas. Modern Languaje Association of America",No disponible,"272,148.80"
"Taylor and Francis Group, LLC.","Derechos de acceso a los articulos, titulos y publicaciones electronicas de la editorial. Maney Publishing",No disponible,"299,803.03"
Thieme Publishers Inc.,"Derechos de acceso y el derecho perpetuo a los articulos, titulos y publicaciones electronicas de la editorial.",No disponible,"263,434.34"
Ebsco International Inc.,"Derechos de acceso a los articulos, titulos y publicaciones electronicas de la editorial. Art Source",No disponible,"65,800.00"
Ebsco International Inc.,"Derechos de acceso a los articulos, titulos y publicaciones electronicas de la editorial. American Ecinomic Association",No disponible,"395,731.65"
American Institute of Physics,"Derechos de acceso a los articulos, titulos y publicaciones electronicas de la editorial. American Ecinomic Association",No disponible,"7,138,864.81"
Ebsco International Inc.,"Derechos de acceso a los articulos, titulos y publicaciones electronicas de la editorial. Vidal Vademecum Spaint, S.A.",No disponible,"2,489,295.00"
Ebsco International Inc.,"Derechos de acceso a los articulos, titulos y publicaciones electronicas de la editorial. Ebscohost y Ebook Academic.",No disponible,"45,604,919.49"
Encyclopaedia Britannica,"Derechos de acceso a los articulos, titulos y publicaciones electronicas de la editorial.",No disponible,"897,076.56"
"Taylor and Francis Group, LLC.","Derechos de acceso a los articulos, titulos y publicaciones electronicas de la editorial.",No disponible,"17,175,277.69"
Massachusetts Medical Society,"Derechos de acceso continuo a articulos, titulos y publicaciones electronicas de la editorial.",No disponible,"1,103,697.11"
Universidad Autónoma de Querétaro,MEJORA Y ADECUACIÓN DEL REPOSITORIO INSTITUCIONAL DE LA UNIVERSIDAD AUTÓNOMA DE QUERÉTARO,Servicios Educativos,"1,000,000.00"
Universidad Nacional Autónoma de México - Dirección General de Divulgación de la Ciencia,AMEYALLI - REPOSITORIO UNIVERSITARIO ESPECIALIZADO EN COMUNICACIÓN PÚBLICA DE LA CIENCIA,Servicios Educativos,"817,222.00"
Universidad Nacional Autónoma de México - Instituto de Ciencias del Mar y Limnología,"AMPLIACIÓN DE LAS CAPACIDADES Y ACERVO DE LA UNIDAD DE INFORMÁTICA MARINA DEL INSTITUTO DE CIENCIAS DEL MAR Y LIMNOLOGÍA, UNAM",Servicios Educativos,"993,644.00"
Universidad de Guadalajara,PROYECTO DE CONSOLIDACIÓN DEL REPOSITORIO INSTITUCIONAL DE RECURSOS DE INFORMACIÓN ACADÉMICA DE LA UNIVERSIDAD DE GUADALAJARA (RIUDEG),Servicios Educativos,"849,020.00"
Universidad Autónoma Metropolitana - Unidad Iztapalapa,PROPUESTA PARA LA CREACIÓN DEL REPOSITORIO INSTITUCIONAL DE LA UAM IZTAPALAPA,Servicios Educativos,"999,999.00"
Instituto Politécnico Nacional,INTEROPERABILIDAD DEL REPOSITORIO INSTITUCIONAL DEL IPN PARA AMBIENTES MULTIPLATAFORMA BASADO EN DSPACE Y HERRAMIENTAS DE PROCESAMIENTO E INDEXACION ESTANDARIZADAS.,Servicios Educativos,"590,000.00"
Premio México de Ciencia y Tecnología,Premio México de Ciencia y Tecnología,No disponible,"762,666.00"
Centro de Investigación y de Estudios Avanzados del Instituto Politécnico Nacional,Redes inalámbricas de sensores para monitorear la calidad del agua en tiempo real,Servicios Educativos,"521,064.00"
Universidad Autónoma Metropolitana / Unidad Iztapala,Producción de disolventes a partir de CO2 para uso en procesos de fermentación,Servicios Educativos,"1,000,000.00"
"Instituto de Ecología, AC",Humedales valiosos: mapeo de servicios ecosistémicos de humedales y regulación climática,Servicios Profesionales Científicos y Técnicos,"933,000.00"
"Centro de Investigación en Materiales Avanzados, SC",Enfoque integrador para el desarrollo de absorbentes basados en nanocelulosa derivados de fuentes naturales sostenibles para el tratamiento optimizado de aguas residuales industriales,Servicios Profesionales Científicos y Técnicos,"910,785.00"
"Centro de Investigación y Desarrollo Tecnológico en Electroquímica, SC",Conformación de Nodo Binacional en Manufactura Avanzada y Procesos,Servicios Profesionales Científicos y Técnicos,"6,925,728.00"
Centro de Investigación y de Estudios Avanzados del Instituto Politécnico Nacional / Unidad Irapuato,Conformación del Nodo Binacional de Innovación del Bajío - NoBI Bajío,Servicios Educativos,"7,000,000.00"
Universidad Nacional Autónoma de México / Coordinación de Investigación Científica,Nodo Binacional de Innovación Universitaria,Servicios Educativos,"4,996,594.00"
Industrias Nutrigrains SAPI de CV,Valorización de subproductos industriales para obtener ingredientes saludables a través de tecnologías novedosas,"Industria Manufacturera, Elaboración de otros alimentos","6,772,229.00"
Universidad de Texas en San Antonio (UTSA) ,ConTex para el Intercambio de Investigadores ,No disponible,"11,000,000.00"
Universidad de Texas en San Antonio (UTSA) ,Programa de Investigación Colaborativa ,No disponible,"11,000,000.00"
Universidad Michoacana de San Nicolás Hidalgo,Desarrollo tecnológico de suplementos nutricionales a través de un proceso innovador de obtención de péptidos y lípidos funcionales de subproductos acuícolas,Servicios Educativos,"969,900.00"
Instituto Nacional de Electricidad y Energías Limpias,Optimización de Pequeñas Turbinas Eólicas y su Promoción en el Mercado (Small Wind Turbines Optimization and Market Promotion),Servicios Profesionales Científicos y Técnicos,"2,047,500.00"
Centro de Investigación y de Estudios Avanzados del Instituto Politécnico Nacional / Unidad Tamaulipas,Enabling REsilent urban TRAnsportation systems in smart Cities,Servicios Educativos,"959,040.00"
Universidad de Arizona,Consorcio Binacional para el Desarrollo Científico Regional y la Innovación correspondiente al año 2016,No disponible,"7,700,000.00"
Instituto Tecnológico y de Estudios Superiores de Monterrey / Campus Monterrey,Nodo I-Corps Innovación Tecnológica Multisectorial,Servicios Educativos,"7,000,000.00"
"Centro de Investigación en Materiales Avanzados, SC",Creación del Nodo Binacional de Innovación Región Norte (NoBI-Región Norte),Servicios Profesionales Científicos y Técnicos,"6,997,840.00"
Instituto Tecnológico y de Estudios Superiores de Monterrey / Campus Estado de México,"FI-NEXT, Bringing FIWARE to the Next Step (274451)",Servicios Educativos,"14,472,067.42"
Universidad Nacional Autónoma de México / Coordinación de Investigación Científica / Instituto de Matemáticas,Improved orthology assignments for functional and evolutionary genomics,Servicios Educativos,"900,000.00"
Universidad Nacional Autónoma de México / Coordinación de Investigación Científica / Instituto de Astronomía,Estudio de emisión de Blazares a muy altas energías,Servicios Educativos,"788,000.00"
Universidad Nacional Autónoma de México / Coordinación de Investigación Científica / Instituto de Quimica,Rutas de Acción de Compuestos Organometálicos Anticancerígenos Basados en Rutenio y Osmio,Servicios Educativos,"576,000.00"
Universidad Nacional Autónoma de México / Coordinación de Investigación Científica / Instituto de Investigaciones en Matemáticas Aplicadas y en Sistemas,Extracción de información semántica de la web para la detección de movilidad profesional en las diásporas del conocimiento,Servicios Educativos,"576,000.00"
Universidad Nacional Autónoma de México / Coordinación de Investigación Científica / Instituto de Biología,Estudio y Caracterización de poblaciones troglobias de Astyanax en la naturaleza,Servicios Educativos,"576,000.00"
Universidad Nacional Autónoma de México / Coordinación de Investigación Científica / Instituto de Fisiología Celular,Hacia la cristalización de una ATP Sintasa Mitocondrial Dimérica: efectos de un detergente de nueva generación derivado del Lauril-Maltósido,Servicios Educativos,"576,000.00"
Universidad Nacional Autónoma de México / Coordinación de Investigación Científica / Instituto de Geofísica,Análisis del colapso parcial de una Isla en el mar de Bismark y su analogía en el Archipiélago de Revillagigedo,Servicios Educativos,"500,800.00"
Universidad Nacional Autónoma de México / Coordinación de Investigación Científica / Instituto de Ecología,Detección de adaptaciones al clima en árboles forestales utilizando herramientas genómicas,Servicios Educativos,"240,000.00"
Universidad Nacional Autónoma de México / Coordinación de Investigación Científica / Instituto de Ingeniería,Ampliación del corpus multiétnico de conversaciones con personas de edad avanzada,Servicios Educativos,"179,200.00"
Universidad Autónoma de Nuevo León,Use of solar energy for the generation of alternative fuels,Servicios Educativos,"600,000.00"
Universidad Nacional Autónoma de México / Coordinación de Investigación Científica / Facultad de Medicina,Remodelación del tejido adiposo después de cirugía bariátrica,Servicios Educativos,"600,000.00"
Universidad Nacional Autónoma de México / Coordinación de Investigación Científica / Instituto de Geografía,Enhancing regional water security in semi-arid regions through improved metropolitan design,Servicios Educativos,"443,400.00"
Instituto Politécnico Nacional,Phytomedical Compounds for Diabetes and Diabetes-Related Complications (DRC)  PHYDIMED,Servicios Educativos,"563,250.00"
Instituto Tecnológico y de Estudios Superiores de Monterrey / Campus Monterrey,Gender Issues in STEM Education,Servicios Educativos,"563,250.00"
Universidad Nacional Autónoma de México / Coordinación de Investigación Científica / Facultad de Medicina,Mitigating Emerging Infection Challenges for Public Security and Justice,Servicios Educativos,"507,000.00"
Universidad Nacional Autónoma de México / Coordinación de Investigación Científica / Instituto de Investigaciones Jurídicas,Intellectual Property for social enterprising. Solving social problems through University innovation,Servicios Educativos,"456,600.00"
"Centro Mario Molina para Estudios Estratégicos sobre Energía y Medio Ambiente, AC ",Improving Assessment of Air Pollution in Mexican Cities,No disponible,"300,000.00"
Universidad de Guanajuato,Biotechnology and glycobiology tools for human health,Servicios Educativos,"349,500.00"
Instituto Tecnológico Superior de Felipe Carrillo Puerto,Present status and horizon scanning of sustainable aquatic resource development in Mexico,Servicios Educativos,"366,600.00"
Universidad Nacional Autónoma de México / Coordinación de Investigación Científica / Facultad de Medicina Veterinaria y Zootecnia,"The potential of genomics on animal production and health research to promote food security, reduce food poverty and mitigate the environmental impact",Servicios Educativos,"563,250.00"
Universidad Nacional Autónoma de México / Coordinación de Investigación Científica / Facultad de Medicina,"Desarrollo de un método de amplificación multiplex (MPA) de alta tecnología para el diagnóstico rápido, sensible y específico de Candidosis Invasiva, en colaboración Reino Unido-México",Servicios Educativos,"999,000.00"
Tecnológico Nacional de México / Instituto Tecnológico de Morelia,Agricultural Application of Electrical Impedance Tomography (EIT) and Internet of Things (IoT) for Optimisation of Irrigation Water Resources,Servicios Educativos,"998,550.00"
"Centro de Investigación Científica de Yucatán, AC","Desarrollo de materiales sustentables, ligeros y energéticamente eficientes para aplicaciones estructurales multifuncionales",Servicios Profesionales Científicos y Técnicos,"998,000.00"
Instituto Tecnológico y de Estudios Superiores de Monterrey / Campus Monterrey,Development of intervertebral implants assisted by robotic bone cutting (DIROBONE),Servicios Educativos,"999,600.00"
Universidad Nacional Autónoma de México / Coordinación de Investigación Científica / Facultad de Medicina Veterinaria y Zootecnia,Caracterización de la respuesta inmune de bovinos Cebú y Holstein-Friesian en un modelo de vacunación contra tuberculosis bovina y su asociación con la resistencia natural a Mycobacterium bovis,Servicios Educativos,"1,000,000.00"
Instituto Politécnico Nacional,Control automático para la optimización del régimen de ozonación aplicado en el tratamiento de suelos y acuíferos contaminados,Servicios Educativos,"880,000.00"
Universidad Michoacana de San Nicolás Hidalgo,"Evaluación, análisis y mitigación de fenómenos adversos de calidad de la energía en sistemas eléctricos con integración de fuentes renovables de energía",Servicios Educativos,"2,000,000.00"
Universidad Nacional Autónoma de México / Coordinación de Investigación Científica / Instituto de Ingeniería,Novedoso sistema a escala piloto para el tratamiento agua residual/lixiviado y la captura de dióxido de carbono utilizando microalgas y ozoflotación (ATZILI),Servicios Educativos,"1,000,000.00"
Colegio de Postgraduados,Impacto del Cambio Climático en la Adaptación y Plasticidad Fenotípica del Crecimiento en Árboles Forestales,Agricultura Ganaderia Aprovechamiento Forestal Pesca y Caza,"576,000.00"
Universidad Autónoma de San Luis Potosí,Complejidad Relativa en Sistemas Dinámicos en Red y algunas Aplicaciones,Servicios Educativos,"576,000.00"
Universidad Autónoma del Estado de Hidalgo,Síntesis de Nano-Catalizadores para la Obtención de Biocombustibles a partir de la Hidroconversión Catalítica de Aceite Vegetal Gastado,Servicios Educativos,"576,000.00"
Centro de Investigación y de Estudios Avanzados del Instituto Politécnico Nacional,Mecanismos Celulares y Moleculares de las Funciones Cerebrales en las que Intervienen las Isoformas Cortas de la Distrofina,Servicios Educativos,"576,000.00"
Universidad Nacional Autónoma de México / Coordinación de Investigación Científica / Facultad de Ciencias,Nuevas Tecnologías para la Fabricación de Micro-Ambientes Celulares Biomiméticos,Servicios Educativos,"576,000.00"
Centro de Investigaciones y Estudios Superiores en Antropología Social,"Justicia y Sociedad en México, siglos XVIII a XXI",Servicios Profesionales Científicos y Técnicos,"576,000.00"
"Centro de Investigación Científica de Yucatán, AC","Valoración de los Recursos Vegetales, Naturales y Renovables de la Península de Yucatán",Servicios Profesionales Científicos y Técnicos,"576,000.00"
Universidad Autónoma del Estado de Morelos ,Catalizadores Híbridos Obtenidos por Trasplante Denso y Orientado de Enzimas en la Superficie de Materiales,Servicios Educativos,"576,000.00"
"Centro de Investigaciones en Óptica, AC",Cromóforos Carbomeros para la Absorción de dos Fotones,Servicios Profesionales Científicos y Técnicos,"576,000.00"
Casa Universitaria Franco Mexicana,6° Simposio Becarios CONACYT en Europa 2017,No disponible,"1,150,000.00"
Durham University Mexican Society (DUMexSoc),XV Simposio de Estudios y Estudiantes Mexicanos en el Reino Unido,No disponible,"150,000.00"
Universidad Nacional Autónoma de México / Coordinación de Investigación Científica,Oceanic Exchanges: Tracing Global Information Networks in Historical Newspaper Repositories,Servicios Educativos,"2,730,000.00"
Instituto Nacional de Antropología e Historia,Explorando el México Colonial Temprano: Análisis computacional a gran escala de fuentes históricas del siglo XVI,Actividades del Gobierno y de Organismos Internacionales y Extraterritoriales,"3,274,000.00"
International Institute for Applied Systems Analysis ,Estancias posdoctorales,No disponible,"3,750,000.00"
Guillermo Jesús Larios Hernández,Convocatoria para instructores de Nodos Binacionales de Innovación,No disponible,"167,000.00"
Rosa Patricia Rubio Solorio,Propuesta para ser instructor del NoBI,No disponible,"167,000.00"
Luis Alfonso Quero Rodríguez,Propuesta para participar en la Convocatoria para Formación de Instructores de la curricula I-Corps reconocidos por CONACYT y la NSF,No disponible,"167,000.00"
Marcus Dantus Mochan,Marcus Dantus Mochan,No disponible,"167,000.00"
Banff International Research Station,Actividades científicas correspondientes al año 2017 ,No disponible,"850,000.00"
European Organization for Nuclear Research (CERN),Actividades del experimento CMS correspondientes al año 2017,No disponible,"3,288,076.00"
"El Colegio de México, AC","El Colegio Internacional de Graduados: Entre Espacios. Movimientos, Actores y Representaciones de la Globalización",Servicios Educativos,"701,000.00"
Asociación Nacional de Universidades e Instituciones de Educación Superior de la República Mexicana AC (ANUIES)  ,Participación y organización del pabellón México en la feria NAFSA 2017,Servicios Educativos,"300,000.00"
"Centro de Investigación en Química Aplicada, AC",Manufactura Avanzada de Caucho en Solución Mediante un Proceso en Continuo,"Industria Manufacturera de Madera, Papel, Derivados del Petróleo e Industria Química","3,035,646.00"
European Organization for Nuclear Research (CERN),Contribución de México para el desarrollo de las actividades del experimento ALICE correspondientes al año 2017,No disponible,"3,390,574.00"
European Organization for Nuclear Research (CERN),Contribución de México para el desarrollo de las actividades del proyecto BEAM correspondiente al año 2017 ,No disponible,"1,980,000.00"
European Organization for Nuclear Research (CERN),Contribución de México para el desarrollo de las actividades del experimento NA62 correspondientes al año 2017,No disponible,"220,000.00"
European Organization for Nuclear Research (CERN),Aportación anual de México para el desarrollo de las actividades del experimento AMS-02 correspondiente al año 2017,No disponible,"132,628.54"
Jonathan Arriaga González,Jonathan Arriaga González,Becario,"900,000.00"
Mónica Terán Hernández,Mónica Terán Hernández,Becario,"900,000.00"
Afaf Abdelrahman Mohamed Ahmed Elshereef,Afaf Abdelrahman Mohamed Ahmed Elshereef,Becario,"500,000.00"
Centro de Investigación y de Estudios Avanzados del Instituto Politécnico Nacional / Unidad Irapuato,Decifrando el papel de los compuestos orgánicos volátiles en la inducción de la resistencia a la sequía y las enfermedades en frijol común (Phaesolus vulgaris): desde la genómica hasta el campo,Servicios Educativos,"2,210,000.00"
Universidad Autónoma de la Ciudad de México,Fotoacústica para el estudio de nanoestructuras y de sus procesos de formación,Servicios Educativos,"2,210,000.00"
Universidad Nacional Autónoma de México / Coordinación de Investigación Científica / Instituto de Ciencias del Mar y Limnología,Corales hermatípicos como archivos naturales de cambios climáticos en el Caribe Mexicano,Servicios Educativos,"2,600,000.00"
Mitacs Inc,Primer año a Mitacs Inc,No disponible,"5,100,000.00"
Israel Loera Carrizales,Estancias posdoctorales,Becario,"900,000.00"
Luis Martín Mejía Mendoza,Estancias posdoctorales,Becario,"900,000.00"
Flavia Termignoni García,Estancias posdoctorales,Becario,"900,000.00"
Universidad Nacional Autónoma de México / Coordinación de Investigación Científica / Instituto de Ecología,Projecting the Influences of Political Incentives on Urban Land Conversion and Hydrologic Consequences in the Mexico City Metropolitan Area,Servicios Educativos,"66,000.00"
European Organization for Nuclear Research (CERN),Contribución de México para la construcción del Readout & Trigger System del Upgrade del ALICE Detector,No disponible,"3,900,000.00"
"Instituto de Ecología, AC","Anthropogenic Mediation of Soil-Landform Relationships: Disturbance and Recovery Along a Climatic Gradient in Central Veracruz, Mexico",Servicios Profesionales Científicos y Técnicos,"88,000.00"
"Centro de Investigaciones en Óptica, AC",Absorción óptica no lineal en nuevos materiales orgánicos: el caso de cromóforos carbomeros,Servicios Profesionales Científicos y Técnicos,"520,000.00"
Universidad de Columbia,Programa Edmundo OGorman 2017,No disponible,"1,000,000.00"
Universidad de California,Programa de Investigación en Migración y Salud (PIMSA) 2017,No disponible,"1,000,000.00"
Universidad de Texas A&M,Programa Conjunto de Proyectos de Colaboración 2017,No disponible,"4,000,000.00"
Karlsruher Institut für Technologie,Actividades del Observatorio Pierre Auger correspondiente al año 2016,No disponible,"2,091,113.00"
"Centro de Investigación y Docencia Económicas, AC",Examining Ilicit Drug Flows,Servicios Profesionales Científicos y Técnicos,"99,000.00"
Instituto Nacional de Antropología e Historia,Investigation of human skeletal remains of prehistoric Baja California Peninsula and inferences for modeling island evolution on mainland,Actividades del Gobierno y de Organismos Internacionales y Extraterritoriales,"132,000.00"
Instituto Interamericano de Cooperación para la Agricultura Oficina en Costa Rica (IICA),9ª. Feria Mexicana de Posgrados de Calidad 2017,No disponible,"500,000.00"
Universidad de California,Programa UC MEXUS-CONACYT para Proyectos de Investigación (Grants),No disponible,"10,219,740.00"
European Organization for Nuclear Research (CERN),Aportación al SCOAP3 correspondiente al año 2017,No disponible,"1,012,000.00"
Universidad de California,Programa UC MEXUS-CONACYT para Estancias Posdoctorales correspondiente al año 2017,No disponible,"11,700,140.00"
Universidad Nacional Autónoma de México / Coordinación de Investigación Científica / Instituto de Matemáticas,Laboratorio Lefschetz (LaSoL) 2017,Servicios Educativos,"1,324,000.00"
Karlsruher Institut für Technologie,Observatorio Pierre Auger correspondiente al año 2017,No disponible,"1,926,424.80"
Universidad de Sussex,Colaboración conjunta entre el CONACYT y la Universidad de Sussex ,No disponible,"910,000.00"
Max Planck Institut für Pflanzenzüchtungsforschung,The mechanistic basis for heterochrony dependent natural variation in leaf shape,No disponible,"609,500.00"
Max Planck Institut für ethnologische Forschung,"Power, Conflict and Integration: Mexican Women in Mixed Marriages in Berlin",No disponible,"609,500.00"
Instituto Tecnológico Autónomo de México,The First Mexico/USA Logic Fest,Servicios Profesionales Científicos y Técnicos,"60,000.00"
Universidad de Texas en San Antonio (UTSA) ,Programa de Investigación Colaborativa 2018,No disponible,"10,000,000.00"
Instituto Tecnológico Superior de los Ríos,"Desarrollo, evaluación en campo y análisis de factibilidad comercial de dos cultivos del Sureste Mexicano con Denominación de Origen, editados genómicamente para conferirles resistencia contra patógenos fúngicos y oomicetos",Servicios Educativos,"5,209,281.00"
Instituto Interamericano de Cooperación para la Agricultura,Desarrollo de las actividades de comunicación y divulgación en materia de Bioseguridad.,No disponible,"1,600,000.00"
"Comayeles, S.A. de C.V.","Contexto socioeconómico, impactos potenciales y estrategia para la consulta a comunidades indígenas, de la producción de soya modificada genéticamente en Yucatán",Servicios Profesionales Cientificos Y Tecnicos,"905,000.00"
