Sujeto de Apoyo,Fondo  ,Monto Aprobado
STRATEGICS DE MEXICO SA DE CV,Programa de Estímulos a la Innovación (PEI),"3,889,500"
PRODUCTOS HELADOS MILKY MICH S.A. DE C.V.,Programa de Estímulos a la Innovación (PEI),"1,703,386"
"PRODUCTOS QUIMICOS DE CHIHUAHUA, S.A. DE C.V.",Programa de Estímulos a la Innovación (PEI),"4,660,625"
MODUTRAM MEXICO SA DE CV,Programa de Estímulos a la Innovación (PEI),"4,768,560"
"PROBIOMED, S.A. DE C.V.",Programa de Estímulos a la Innovación (PEI),"5,295,557"
ACCESOS SIN LIMITE S.A. DE C.V.,Programa de Estímulos a la Innovación (PEI),"2,053,998"
"CRISER, S.A. DE C.V.",Programa de Estímulos a la Innovación (PEI),"3,694,521"
"ENERYA,S.A. DE C.V.",Programa de Estímulos a la Innovación (PEI),"3,357,680"
"NUTEC BICKLEY, S.A. DE C.V.",Programa de Estímulos a la Innovación (PEI),"3,804,455"
"PAPELERA DE CHIHUAHUA, S. A. DE C. V.",Programa de Estímulos a la Innovación (PEI),"2,791,221"
IMPERMEABILIZANTES Y AISLANTES TÉRMICOS FALCÓN SA DE CV,Programa de Estímulos a la Innovación (PEI),"2,056,931"
TRANSTELL S.A. DE C.V.,Programa de Estímulos a la Innovación (PEI),"222,480"
MIELES CAMPOS AZULES S.A. DE C.V.,Programa de Estímulos a la Innovación (PEI),"2,276,012"
CONSTRUCCIONES INDUSTRIALES DE AGUASCALIENTES SA DE CV,Programa de Estímulos a la Innovación (PEI),"4,489,507"
CONSTRUCCIONES INDUSTRIALES DE AGUASCALIENTES SA DE CV,Programa de Estímulos a la Innovación (PEI),"5,914,507"
SIEMENS SA DE CV,Programa de Estímulos a la Innovación (PEI),"1,055,086"
TRANSFORMADORES INTELIGÉNTES DE MÉXICO SAPI DE CV,Programa de Estímulos a la Innovación (PEI),"2,774,192"
ECOAGRONEGOCIOS S. DE R.L. DE C.V.,Programa de Estímulos a la Innovación (PEI),"3,813,200"
COVESTRO S.A. DE C.V.,Programa de Estímulos a la Innovación (PEI),"572,826"
COMERCIAL ACROS WHIRLPOOL S.A. DE C.V.,Programa de Estímulos a la Innovación (PEI),"3,459,267"
"DELPHI AUTOMOTIVE SYSTEMS, S. DE R.L DE C.V.",Programa de Estímulos a la Innovación (PEI),"1,035,013"
NATURALLY SIMHER SA DE CV,Programa de Estímulos a la Innovación (PEI),"960,506"
"CYSORE, S.A. DE C.V.",Programa de Estímulos a la Innovación (PEI),"2,069,487"
SOLDADORAS INDUSTRIALES INFRA S.A.DE C.V.,Programa de Estímulos a la Innovación (PEI),"570,500"
AUTOABASTECIMIENTO RENOVABLE S.A. DE C.V.,Programa de Estímulos a la Innovación (PEI),"6,594,771"
"CENTRO PARA LA INNOVACION, LA CIENCIA Y LA TECNOLOGIA DEL VALLE DE MEXICO SA DE CV",Programa de Estímulos a la Innovación (PEI),"8,412,502"
KURAGO BIOTEK  HOLDINGS  S.A.P.I. DE C.V.,Programa de Estímulos a la Innovación (PEI),"4,235,140"
CDE COMERCIALIZADORA S.A. DE C.V,Programa de Estímulos a la Innovación (PEI),"1,495,007"
SANCHEZ S.A. DE C.V.,Programa de Estímulos a la Innovación (PEI),"1,497,430"
SKY TEK S. DE R.L. DE C.V.,Programa de Estímulos a la Innovación (PEI),"2,593,060"
CORDOVA INDUSTRIAL INTEGRADORES S.A. DE C.V.,Programa de Estímulos a la Innovación (PEI),"5,621,150"
"HUNABSYS R&D, S. DE R.L. DE C.V.",Programa de Estímulos a la Innovación (PEI),"4,975,000"
BIOKRONE S.A. DE C.V.,Programa de Estímulos a la Innovación (PEI),"1,730,516"
"GRAPHENEMEX, S.A. DE C.V.",Programa de Estímulos a la Innovación (PEI),"7,200,000"
"STELAGENOMICS MEXICO, S DE RL DE CV",Programa de Estímulos a la Innovación (PEI),"873,452"
LABORATORIO SANTGAR FORMULAS MAGISTRALES DE MEXICO SA DE CV,Programa de Estímulos a la Innovación (PEI),"2,123,465"
FICOSA NORTH AMERICA S A DE C V,Programa de Estímulos a la Innovación (PEI),"3,941,544"
ALTEA CASTING SA DE CV,Programa de Estímulos a la Innovación (PEI),"2,549,306"
PRODUT CASTING S.A. DE C.V.,Programa de Estímulos a la Innovación (PEI),"4,910,361"
"LABORATORIOS SILANES, S.A. DE C.V.",Programa de Estímulos a la Innovación (PEI),"2,769,711"
"CLINICA OFTALMICA LASER CHOZA,S.A .DE C.V.",Programa de Estímulos a la Innovación (PEI),"2,736,250"
PRADOS CAMELINAS SA DE CV,Programa de Estímulos a la Innovación (PEI),"5,572,943"
MEZCLADORAS Y TRAILERS DE MÉXICO SA DE CV,Programa de Estímulos a la Innovación (PEI),"11,934,404"
"PORCELANITE LAMOSA, S.A. DE C.V.",Programa de Estímulos a la Innovación (PEI),"2,541,490"
"PORCELANITE LAMOSA, S.A. DE C.V.",Programa de Estímulos a la Innovación (PEI),"2,512,818"
"GRUPO AIT, ALTO IMPACTO TECNOLOGICO S.A. DE C.V.",Programa de Estímulos a la Innovación (PEI),"3,012,500"
ECOVORAZ S DE RL DE CV,Programa de Estímulos a la Innovación (PEI),"838,936"
SOLUCION EN TECNOLÓGIAS AVANZADAS S.A. DE C.V.,Programa de Estímulos a la Innovación (PEI),"6,000,000"
"PSICOFARMA, S. A. DE C. V.",Programa de Estímulos a la Innovación (PEI),"1,767,000"
"CTEG CENTRO DE DESARROLLO EN TECNOLOGIA ELECTRONICA DE GUERRERO, S.A DE C.V",Programa de Estímulos a la Innovación (PEI),"5,614,252"
"SIEX MEXICO, S.A. DE C.V.",Programa de Estímulos a la Innovación (PEI),"1,910,524"
"SIGMA ALIMENTOS CENTRO, S.A. DE C.V.",Programa de Estímulos a la Innovación (PEI),"6,989,413"
GRUPO GARVICA S.A DE C.V.,Programa de Estímulos a la Innovación (PEI),"4,822,500"
INMATERIIS S.A. DE C.V.,Programa de Estímulos a la Innovación (PEI),"2,971,501"
"GOODRICH AEROSPACE DE MEXICO, S. DE R.L. DE C.V.",Programa de Estímulos a la Innovación (PEI),"5,206,080"
MAGEOTEC SA DE CV,Programa de Estímulos a la Innovación (PEI),"1,573,000"
EMOT INGENIERÍA S.A. DE C.V.,Programa de Estímulos a la Innovación (PEI),"2,382,309"
INVESTIGACION Y DESARROLLO DE SOFTWARE SA DE CV,Programa de Estímulos a la Innovación (PEI),"8,125,000"
SIGMA ALIMENTOS LACTEOS SA DE CV,Programa de Estímulos a la Innovación (PEI),"6,291,554"
SOLTEG SA DE CV,Programa de Estímulos a la Innovación (PEI),"3,706,875"
INNOVASOLVER S. DE R.L. DE C.V.,Programa de Estímulos a la Innovación (PEI),"1,689,896"
SUKARNE AGROINDUSTRIAL SA DE CV,Programa de Estímulos a la Innovación (PEI),"8,030,778"
"XANTRONIC, S.A DE C.V",Programa de Estímulos a la Innovación (PEI),"9,822,115"
"XNOX, S.A DE C.V.",Programa de Estímulos a la Innovación (PEI),"5,897,507"
INDEX CODE SA DE CV,Programa de Estímulos a la Innovación (PEI),"3,361,500"
"CREST NORTEAMERICA, SA DE CV",Programa de Estímulos a la Innovación (PEI),"3,160,971"
"SOLUCIONES TECNICAS PARA LA CONSTRUCCION DEL CENTRO, SA DE CV",Programa de Estímulos a la Innovación (PEI),"906,525"
CUPRUM FAB S.A. DE C.V.,Programa de Estímulos a la Innovación (PEI),"2,229,250"
SMK ELECTRONICA S.A. DE C.V,Programa de Estímulos a la Innovación (PEI),"2,311,359"
"PINTURA ESTAMPADO Y MONTAJE, S.A.P.I. DE C.V.",Programa de Estímulos a la Innovación (PEI),"5,598,913"
GRUPO LUXIN S.A.P.I DE C.V,Programa de Estímulos a la Innovación (PEI),"1,738,683"
INDUSTRIA COMERCIALIZADORA CHAJAR S.A. DE C.V.,Programa de Estímulos a la Innovación (PEI),"2,484,680"
BIOTECNOLOGÍA AGROINDUSTRIAL S.A. DE C.V.,Programa de Estímulos a la Innovación (PEI),"727,750"
TECNOLOGIA EN SERVICIOS BIOMEDICOS SAPI DE CV,Programa de Estímulos a la Innovación (PEI),"1,571,119"
"INGENIERÍA EN MANTENIMIENTO Y SISTEMAS, S.A. DE C.V.",Programa de Estímulos a la Innovación (PEI),"1,570,147"
"PLAMEX, S.A. DE C.V.",Programa de Estímulos a la Innovación (PEI),"6,702,439"
"OSMO CONSULTING, S.A. DE C.V.",Programa de Estímulos a la Innovación (PEI),"3,265,950"
"CENTRO DE CARACTERIZACIÓN E INVESTIGACIÓN EN MATERIALES, S.A. DE C.V.",Programa de Estímulos a la Innovación (PEI),"1,462,500"
BIOTECNOLOGIA MEXICANA DE MICROALGAS SA DE CV,Programa de Estímulos a la Innovación (PEI),"7,738,877"
AXIOMA ELECTRONICS SA DE CV,Programa de Estímulos a la Innovación (PEI),"1,611,742"
SINNTEC INNOVACION TECNOLOGICA SA DE CV,Programa de Estímulos a la Innovación (PEI),"1,409,326"
AXIOMA ELECTRONICS SA DE CV,Programa de Estímulos a la Innovación (PEI),"744,265"
TECNOLOGIA AMBIENTAL BIOMEX S.A. DE C.V.,Programa de Estímulos a la Innovación (PEI),"2,803,361"
AGROPECUARIA LA NORTEÑITA S.DE R.L. DE C.V.,Programa de Estímulos a la Innovación (PEI),"1,871,384"
COVESTRO S.A. DE C.V.,Programa de Estímulos a la Innovación (PEI),"467,021"
GECOSOFT SA DE CV,Programa de Estímulos a la Innovación (PEI),"1,849,747"
INNOVACIONES ALTERNATIVAS DEL SURESTE S.A DE C.V,Programa de Estímulos a la Innovación (PEI),"5,500,000"
LOM PROCESS CONTROL SA DE CV,Programa de Estímulos a la Innovación (PEI),"2,331,926"
NPC BUSINESS SOLUTIONS SA DE CV,Programa de Estímulos a la Innovación (PEI),"819,000"
ENERGÍA SUMINISTROS E INSTALACIONES S.A DE C.V,Programa de Estímulos a la Innovación (PEI),"6,963,201"
ENERGÍA SUMINISTROS E INSTALACIONES S.A DE C.V,Programa de Estímulos a la Innovación (PEI),"5,999,998"
"CONSORCIO CONTRU-COSS, S.A. DE C.V.",Programa de Estímulos a la Innovación (PEI),"1,879,525"
GRUPO TECHVER S.A. DE C.V.,Programa de Estímulos a la Innovación (PEI),"4,602,000"
"RUHRPUMPEN INDUSTRIAL, S.A. DE C.V.",Programa de Estímulos a la Innovación (PEI),"1,174,354"
THYSSENKRUPP PRESTA DE MÉXICO S.A DE C.V.,Programa de Estímulos a la Innovación (PEI),"15,764,500"
INTERCAMBIO MEXICANO DE COMERCIO S.A. DE C.V.,Programa de Estímulos a la Innovación (PEI),"9,998,500"
GREEN & BLUE MANUFACTURE S.A. DE C.V.,Programa de Estímulos a la Innovación (PEI),"6,808,250"
"INDUSTRIAL TAMTO DE PUEBLA, S.A. DE C.V.",Programa de Estímulos a la Innovación (PEI),"1,791,250"
PROFESIONAL 007 S.A. DE C.V.,Programa de Estímulos a la Innovación (PEI),"9,409,500"
COLOROBBIA MEXICO SA DE CV,Programa de Estímulos a la Innovación (PEI),"2,997,000"
TECNOLOGIA RENOVABLE DE MÉXICO S.A DE C.V,Programa de Estímulos a la Innovación (PEI),"5,500,000"
DESARROLLO CREATIVO AMERICANO S.A. DE C.V.,Programa de Estímulos a la Innovación (PEI),"5,000,001"
TECNOLOGIA RENOVABLE DE MÉXICO S.A DE C.V,Programa de Estímulos a la Innovación (PEI),"4,000,000"
"LAPISA, S.A. DE C.V",Programa de Estímulos a la Innovación (PEI),"1,262,967"
TOH TICS S.A. DE C.V.,Programa de Estímulos a la Innovación (PEI),"1,837,333"
AGROINTER SA DE CV,Programa de Estímulos a la Innovación (PEI),"2,928,500"
ENERGIAS RENOVABLES DEL SURESTE S.A DE C.V,Programa de Estímulos a la Innovación (PEI),"4,000,000"
"VIGILANCIA ONLINE, S.A. DE C.V.",Programa de Estímulos a la Innovación (PEI),"7,000,000"
CM INDUSTRIAL DE QUERETARO S DE RL DE CV,Programa de Estímulos a la Innovación (PEI),"9,953,506"
TEJIDOS Y ACABADOS INDUSTRIALES SA DE CV,Programa de Estímulos a la Innovación (PEI),"5,022,434"
TEXTILES LEON SA DE CV,Programa de Estímulos a la Innovación (PEI),"1,282,300"
PICSA DE MEXICO INTERNACIONAL S.A. DE .C.V.,Programa de Estímulos a la Innovación (PEI),"2,157,950"
CENTRO I+D+I PLENUM SA DE CV,Programa de Estímulos a la Innovación (PEI),"9,000,000"
PUNTO PEN S.A. DE C.V.,Programa de Estímulos a la Innovación (PEI),"4,617,750"
COMERCIAL ACROS WHIRLPOOL S.A. DE C.V.,Programa de Estímulos a la Innovación (PEI),"3,764,537"
ASESORÍA Y SERVICIOS DE INGENIERÍA PARA LA INDUSTRIA S.A. DE C.V.,Programa de Estímulos a la Innovación (PEI),"245,580"
PRODUCTOS MAVER S.A. DE C.V.,Programa de Estímulos a la Innovación (PEI),"6,305,023"
MAQUILAS TETA KAWI S.A. DE C.V.,Programa de Estímulos a la Innovación (PEI),"4,081,787"
"QUALTIA ALIMENTOS OPERACIONES, S. DE R. L. DE C.V.",Programa de Estímulos a la Innovación (PEI),"1,162,222"
"INDUSTRIAS EN SERVICIOS PLASTICOS MANUFACTURA, S.A.P.I. DE C.V.",Programa de Estímulos a la Innovación (PEI),"11,836,000"
GRUPO GAMMA PENINSULAR S.A. DE C.V.,Programa de Estímulos a la Innovación (PEI),"4,130,763"
GCC TRANSPORTE S.A. DE C.V.,Programa de Estímulos a la Innovación (PEI),"3,301,290"
FROZEN PULPS DE MEXICO S.A. DE C.V.,Programa de Estímulos a la Innovación (PEI),"4,392,153"
REPINEL ELECTRIC SOLUTIONS AND AUTOMATION SYSTEMS S.A. DE C.V.,Programa de Estímulos a la Innovación (PEI),"1,755,033"
FIXSO S. DE R.L. DE C.V.,Programa de Estímulos a la Innovación (PEI),"3,360,000"
"FERTILIZANTES TEPEYAC, S.A. DE C.V.",Programa de Estímulos a la Innovación (PEI),"1,562,500"
"TECNOLOGIA DE LOS RIOS, S.A. DE C.V.",Programa de Estímulos a la Innovación (PEI),"7,000,000"
SOTOLERA JACOBO SA DE CV,Programa de Estímulos a la Innovación (PEI),"4,998,750"
"AGROMOD, S.A. DE C.V.",Programa de Estímulos a la Innovación (PEI),"7,575,579"
GALAZ SCIENCE AND ENGINEERING SA DE CV,Programa de Estímulos a la Innovación (PEI),"4,765,500"
CITRICOS EX SA DE CV,Programa de Estímulos a la Innovación (PEI),"2,541,156"
"INGENIERIA QUANTICA SUPERIOR, S.A. DE C.V.",Programa de Estímulos a la Innovación (PEI),"4,773,601"
ASTI CONSULTORIA DE SOFTWARE SA DE CV,Programa de Estímulos a la Innovación (PEI),"1,777,866"
VITRO VIDRIO Y CRISTAL SA DE CV,Programa de Estímulos a la Innovación (PEI),"5,264,300"
"LAPISA, S.A. DE C.V",Programa de Estímulos a la Innovación (PEI),"2,359,245"
PROCESOS DE INNOVACION EN ALIMENTOS ROJE S.A DE.CV,Programa de Estímulos a la Innovación (PEI),"4,560,375"
INTELIGENCIA INDUSTRIAL INTI SA DE CV,Programa de Estímulos a la Innovación (PEI),"3,864,000"
TIS CONSULTING GROUP MEXICO S.A. DE C.V.,Programa de Estímulos a la Innovación (PEI),"3,992,375"
CECYPE SERVICES S DE RL DE CV,Programa de Estímulos a la Innovación (PEI),"4,590,500"
"NUCITEC, SA. DE CV.",Programa de Estímulos a la Innovación (PEI),"2,747,277"
"EMPACADORA BONNACARNE, S.A. DE C.V.",Programa de Estímulos a la Innovación (PEI),"13,020,350"
PICSA DE MEXICO INTERNACIONAL S.A. DE .C.V.,Programa de Estímulos a la Innovación (PEI),"2,258,825"
DIAMANTE COORPORACION S.A. DE C.V.,Programa de Estímulos a la Innovación (PEI),"1,055,180"
"TAIRDA INNOVATIONS, S.A. DE C.V.",Programa de Estímulos a la Innovación (PEI),"3,555,000"
METALINSPEC LABORATORIOS S.A. DE C.V.,Programa de Estímulos a la Innovación (PEI),"939,500"
KEET ELECTRONICS S.A. DE C.V.,Programa de Estímulos a la Innovación (PEI),"3,656,250"
"INDUSTRIALIZADORA DE CARNICOS STRATTEGA, S.A. DE C.V.",Programa de Estímulos a la Innovación (PEI),"5,181,776"
SONORA INNOVA S.A. DE C.V.,Programa de Estímulos a la Innovación (PEI),"3,460,000"
KAMER ECO GRANJA LA CAMPECHANA S. P. R. DE R. L. DE C. V.,Programa de Estímulos a la Innovación (PEI),"1,789,849"
"AMERICAN BEEF, S.A. DE C.V.",Programa de Estímulos a la Innovación (PEI),"9,898,170"
CODE INGENIERIA SA DE CV,Programa de Estímulos a la Innovación (PEI),"2,136,413"
TOC TECHNOLOGY OUTSOURCING CENTER S.A. DE C.V.,Programa de Estímulos a la Innovación (PEI),"4,127,010"
"TANGIBLE NOUS, S.A. DE C.V.",Programa de Estímulos a la Innovación (PEI),"3,109,308"
RASSINI FRENOS SA DE CV,Programa de Estímulos a la Innovación (PEI),"7,381,779"
"SOLUCIONES DIGITALES Y DE PROCESOS,  S.A. DE C.V.",Programa de Estímulos a la Innovación (PEI),"9,758,715"
TIS CONSULTING GROUP MEXICO S.A. DE C.V.,Programa de Estímulos a la Innovación (PEI),"2,985,750"
SUMINISTROS TERMO-ELECTROMECANICOS S. A. DE C. V.,Programa de Estímulos a la Innovación (PEI),"7,487,500"
PRONTIUS LABORATORIOS SA,Programa de Estímulos a la Innovación (PEI),"5,181,400"
CODE INGENIERIA SA DE CV,Programa de Estímulos a la Innovación (PEI),"2,892,258"
TEXNOLGICA SA DE CV,Programa de Estímulos a la Innovación (PEI),"4,618,000"
"FISACERO CORPORATION, S. DE R.L. DE C.V.",Programa de Estímulos a la Innovación (PEI),"12,133,590"
MICROCALLI DEL GOLFO SA DE CV,Programa de Estímulos a la Innovación (PEI),"1,807,850"
"KATCON, S.A. DE C.V.",Programa de Estímulos a la Innovación (PEI),"3,304,435"
"CERVECERIA CUAUHTEMOC MOCTEZUMA, S.A. DE C.V.",Programa de Estímulos a la Innovación (PEI),"10,383,853"
"METATRONIC LED.MX, S.A DE C.V",Programa de Estímulos a la Innovación (PEI),"5,159,318"
NANOPHARMACIA DIAGNOSTICA S.A. DE C.V.,Programa de Estímulos a la Innovación (PEI),"8,712,500"
HUF MEXICO S. DE R.L. DE C.V.,Programa de Estímulos a la Innovación (PEI),"10,981,100"
"MA15 MANAGEMENT, S.A. DE C.V.",Programa de Estímulos a la Innovación (PEI),"1,659,135"
RANCHO LUCERO S DE PR DE RL,Programa de Estímulos a la Innovación (PEI),"6,532,500"
MEZCLAS Y FERTILIZANTES S. A. DE C. V.,Programa de Estímulos a la Innovación (PEI),"2,398,725"
"LABORATORIOS LIOMONT, S.A. DE C.V.",Programa de Estímulos a la Innovación (PEI),"3,045,400"
CONDUCTORES MONTERREY SA DE CV,Programa de Estímulos a la Innovación (PEI),"12,071,279"
ZIPTEK MEXICO SA DE CV,Programa de Estímulos a la Innovación (PEI),"3,530,850"
SALVER BALONES SAPI DE CV,Programa de Estímulos a la Innovación (PEI),"3,073,847"
"AMUNET, S.A. DE C.V.",Programa de Estímulos a la Innovación (PEI),"9,899,000"
"FUNDICION AGUILAS, S.A. DE C.V.",Programa de Estímulos a la Innovación (PEI),"12,949,360"
FORTE AGRO ALIMENTOS S DE P R DE R L,Programa de Estímulos a la Innovación (PEI),"4,646,250"
COMERCIALIZADORA DE PRODUCTOS DE TRANSFORMACION ECOLOGICA SA DE CV,Programa de Estímulos a la Innovación (PEI),"4,940,000"
"KATCON, S.A. DE C.V.",Programa de Estímulos a la Innovación (PEI),"4,393,380"
CANTAB TECNOLOGÍA S. DE R. L. DE C. V.,Programa de Estímulos a la Innovación (PEI),"3,041,135"
MANUFACTURAS NATUREX SA DE CV,Programa de Estímulos a la Innovación (PEI),"1,579,961"
"SISTEMAS BOX, SA DE CV",Programa de Estímulos a la Innovación (PEI),"12,600,000"
GANPA SOFTWARE SOLUTIONS S DE RL DE CV,Programa de Estímulos a la Innovación (PEI),"3,368,625"
"METAPOL, S.A. DE C.V.",Programa de Estímulos a la Innovación (PEI),"5,711,638"
CENTRO PARA LA INNOVACIÓN Y EL CONOCIMIENTO TECNOLOGICO SA DE CV,Programa de Estímulos a la Innovación (PEI),"14,000,000"
"EMBSOFT, SA DE CV",Programa de Estímulos a la Innovación (PEI),"2,611,230"
"EMBSOFT, SA DE CV",Programa de Estímulos a la Innovación (PEI),"2,519,300"
"CTMI CENTRO DE TECNOLOGIA DE MICHOACAN, S.A DE C.V",Programa de Estímulos a la Innovación (PEI),"4,803,825"
PROYECTOS SUSTENTABLES DE LA PENÍNSULA SA DE CV,Programa de Estímulos a la Innovación (PEI),"7,000,001"
SODIF SA DE CV,Programa de Estímulos a la Innovación (PEI),"645,899"
SUNBIONICS S.A. DE C.V.,Programa de Estímulos a la Innovación (PEI),"3,420,000"
SINQUIMICA S.A. DE C.V.,Programa de Estímulos a la Innovación (PEI),"1,101,250"
ELECTRO SYSTEMS AND TECHNOLOGICAL SOLUTIONS SA DE CV,Programa de Estímulos a la Innovación (PEI),"3,844,576"
"AQUAINNOVA TECHNOLOGIES, S. DE R.L. DE C.V.",Programa de Estímulos a la Innovación (PEI),"5,490,955"
ENREMEX S DE RL DE CV,Programa de Estímulos a la Innovación (PEI),"3,111,555"
"LABORATORIOS SILANES, S.A. DE C.V.",Programa de Estímulos a la Innovación (PEI),"2,911,020"
TECPRO S. DE R. L. MI.,Programa de Estímulos a la Innovación (PEI),"175,770"
"EMPACADORA DE CARNES SAN FRANCISCO, S.A. DE C.V.",Programa de Estímulos a la Innovación (PEI),"3,879,364"
"LABORATORIOS CRYOPHARMA, S.A. DE C.V.",Programa de Estímulos a la Innovación (PEI),"6,962,545"
DUAL TALLERES METAL MECANICA SA DE CV,Programa de Estímulos a la Innovación (PEI),"11,013,348"
"CSA DE BAJA CALIFORNIA, S.A DE C.V",Programa de Estímulos a la Innovación (PEI),"4,360,905"
IDGREEN SA DE CV,Programa de Estímulos a la Innovación (PEI),"3,709,000"
GRUPO GESTION INTELIGENTE S DE RL,Programa de Estímulos a la Innovación (PEI),"4,943,000"
VERTESSENCE S.A. DE C.V.,Programa de Estímulos a la Innovación (PEI),"980,375"
CITRICOS EX SA DE CV,Programa de Estímulos a la Innovación (PEI),"1,337,634"
SERVICIOS PROFESIONALES DE SOFTWARE ODACC S DE RL DE CV,Programa de Estímulos a la Innovación (PEI),"3,396,420"
SERVICIOS PROFESIONALES DE SOFTWARE ODACC S DE RL DE CV,Programa de Estímulos a la Innovación (PEI),"3,607,089"
SASA-SOLUCIONES DE AUTOSERVICIOS Y SERVICIOS ASOCIADOS SA DE CV,Programa de Estímulos a la Innovación (PEI),"2,220,250"
SASA-SOLUCIONES DE AUTOSERVICIOS Y SERVICIOS ASOCIADOS SA DE CV,Programa de Estímulos a la Innovación (PEI),"2,246,750"
TEXNOLGICA SA DE CV,Programa de Estímulos a la Innovación (PEI),"3,929,745"
"LABORATORIOS SILANES, S.A. DE C.V.",Programa de Estímulos a la Innovación (PEI),"1,244,875"
"HAKKEN ENTERPRISE, S.A. DE C.V.",Programa de Estímulos a la Innovación (PEI),"7,610,571"
SOLUCIONES INTERACTIVAS DIGITALES S.A. DE C.V.,Programa de Estímulos a la Innovación (PEI),"2,754,438"
"CLARIMEX, S.A. DE C.V.",Programa de Estímulos a la Innovación (PEI),"1,950,000"
"PLASTICOS Y ALAMBRES, S.A. DE C.V.",Programa de Estímulos a la Innovación (PEI),"1,283,007"
"ENERCOTEC, S.A.P.I. DE C.V.",Programa de Estímulos a la Innovación (PEI),"3,540,000"
WPS MANUFACTURAS TECNOLOGICAS S DE RL MI DE CV,Programa de Estímulos a la Innovación (PEI),"3,675,000"
"SISTEMAS BOX, SA DE CV",Programa de Estímulos a la Innovación (PEI),"3,900,000"
MAQUILAS TETA KAWI S.A. DE C.V.,Programa de Estímulos a la Innovación (PEI),"10,963,528"
"GRUPO AVIMARCA, S.A DE C.V.",Programa de Estímulos a la Innovación (PEI),"1,878,421"
"BIOSISTEMAS Y SEGURIDAD PRIVADA, S.A. DE C.V.",Programa de Estímulos a la Innovación (PEI),"4,902,750"
"DESARROLLOS BIOMÉDICOS Y BIOTECNOLÓGICOS DE MÉXICO, S.A. DE C.V.",Programa de Estímulos a la Innovación (PEI),"13,279,184"
"PETROQUIMICA MEXICANA DE VINILO, SA DE CV",Programa de Estímulos a la Innovación (PEI),"16,563,627"
NEWBAUER S.A. DE C.V.,Programa de Estímulos a la Innovación (PEI),"2,141,420"
"LABORATORIOS SILANES, S.A. DE C.V.",Programa de Estímulos a la Innovación (PEI),"8,704,180"
FICOSA NORTH AMERICA S A DE C V,Programa de Estímulos a la Innovación (PEI),"4,566,426"
QUÍMICA DEL OESTE S.A.,Programa de Estímulos a la Innovación (PEI),"4,508,480"
BSS SOLUCIONES DE SISTEMAS S.A. DE C.V.,Programa de Estímulos a la Innovación (PEI),"1,675,500"
"LAPISA, S.A. DE C.V",Programa de Estímulos a la Innovación (PEI),"3,128,061"
CKICK TECNOLOGIA AVANZADA DEL MILENIO S DE RL DE CV,Programa de Estímulos a la Innovación (PEI),"1,497,149"
ABASTECEDORA DE PRODUCTOS E INSUMOS S.A. DE C.V.,Programa de Estímulos a la Innovación (PEI),"2,895,413"
"ORACLE DE MEXICO, S.A. DE C.V.",Programa de Estímulos a la Innovación (PEI),"7,633,754"
"TANOOKY, SA DE CV",Programa de Estímulos a la Innovación (PEI),"3,131,000"
