Sujeto de Apoyo,Fondo  ,Monto Aprobado
AM DYNAMIC SERVICE SA DE CV,Programa de Estímulos a la Innovación (PEI),"2,475,000"
"MAEVE CONSULTORES TI, S.A. DE C.V.",Programa de Estímulos a la Innovación (PEI),"4,354,500"
"CENTRO PARA LA INNOVACION Y LA MOVILIDAD, S.A. DE C.V.",Programa de Estímulos a la Innovación (PEI),"3,900,000"
TLACHIA SYSTEMS SA DE CV,Programa de Estímulos a la Innovación (PEI),"2,710,100"
FURUKAWA MEXICO SA DE CV,Programa de Estímulos a la Innovación (PEI),"7,833,878"
TLACHIA SYSTEMS SA DE CV,Programa de Estímulos a la Innovación (PEI),"3,571,975"
SOLUCIONES ESTRATÉGICAS PARA LAS DECISIONES EMPRESARIALES S.A. DE C.V.,Programa de Estímulos a la Innovación (PEI),"1,430,062"
CICAINTE S DE RL DE CV,Programa de Estímulos a la Innovación (PEI),"2,142,299"
"INFORMÁTICA, MANTENIMIENTO Y SISTEMAS S.A. DE C.V.",Programa de Estímulos a la Innovación (PEI),"1,570,785"
"NANOMAT, S.A. DE C.V.",Programa de Estímulos a la Innovación (PEI),"3,085,413"
DISTRIBUIDORA DE INNOVACIÓN Y TECNOLOGÍA S.A. DE C.V.,Programa de Estímulos a la Innovación (PEI),"1,920,939"
4E POWER AND FUELS S. DE R.L.,Programa de Estímulos a la Innovación (PEI),"800,000"
CORPORACION ACAT SA DE CV,Programa de Estímulos a la Innovación (PEI),"5,298,810"
WIN INFORMATION TECHNOLOGIES S DE RL DE CV,Programa de Estímulos a la Innovación (PEI),"4,270,348"
TLACHIA SYSTEMS SA DE CV,Programa de Estímulos a la Innovación (PEI),"3,651,600"
AGROINDUSTRIA ALTERNATIVA DEL SURESTE S.P.R. DE R.L. DE C.V.,Programa de Estímulos a la Innovación (PEI),"3,032,953"
"METAL CASTING TECHNOLOGY CASTECH, S DE RL DE CV",Programa de Estímulos a la Innovación (PEI),"7,312,000"
"INGENIERÍA RECONSTRUCTIVA, S.A. DE C.V.",Programa de Estímulos a la Innovación (PEI),"3,661,048"
LABORATORIOS BIOSUNVEX S.A. DE C.V.,Programa de Estímulos a la Innovación (PEI),"1,570,502"
COMERCIALIZADORA INFINICOM S. DE R.L. DE C.V.,Programa de Estímulos a la Innovación (PEI),"1,870,837"
ENSITECH DE MEXICO S.A. DE C.V.,Programa de Estímulos a la Innovación (PEI),"1,712,000"
TENEDORA NEMAK S.A. DE C.V.,Programa de Estímulos a la Innovación (PEI),"7,324,681"
AGRONEGSUS SA DE CV,Programa de Estímulos a la Innovación (PEI),"1,340,100"
ECOLOGICOS INTERNACIONALES DE MEXICO SA DE CV,Programa de Estímulos a la Innovación (PEI),"3,850,528"
"NANOMATERIALES, S.A. DE C.V.",Programa de Estímulos a la Innovación (PEI),"2,688,645"
SALAG MEXICO SA DE CV,Programa de Estímulos a la Innovación (PEI),"5,843,989"
ORGANICUM S. DE R.L. DE C.V.,Programa de Estímulos a la Innovación (PEI),"5,039,175"
ORGANICUM S. DE R.L. DE C.V.,Programa de Estímulos a la Innovación (PEI),"4,158,950"
SELFTEC SA DE CV,Programa de Estímulos a la Innovación (PEI),"7,007,907"
TRANSFORMADORES INTELIGÉNTES DE MÉXICO SAPI DE CV,Programa de Estímulos a la Innovación (PEI),"2,517,215"
"BIOCIENCIAS F Y A, S.A. DE C.V.",Programa de Estímulos a la Innovación (PEI),"8,240,000"
INVESTIGACION APLICADA SA DE CV,Programa de Estímulos a la Innovación (PEI),"862,625"
RODAS COMPUTACION SA DE CV,Programa de Estímulos a la Innovación (PEI),"1,671,300"
VIRETEC GESTION Y DESARROLLO S.A. DE C.V.,Programa de Estímulos a la Innovación (PEI),"2,347,282"
HEALTHCARE BUSINESS AND COMPUTER TECHNOLOGY SA DE CV,Programa de Estímulos a la Innovación (PEI),"5,102,854"
FCDIGITAL MÉXICO S.A DE C.V,Programa de Estímulos a la Innovación (PEI),"1,618,276"
PARR CHEMICALS S.A. DE C.V.,Programa de Estímulos a la Innovación (PEI),"4,058,849"
TRANSPORTES ONLINE S. DE R.L. DE C.V.,Programa de Estímulos a la Innovación (PEI),"7,928,378"
"POLIOLES, S.A. DE C.V.",Programa de Estímulos a la Innovación (PEI),"3,531,510"
"TECHNICAL PRO SYSTEM, S.A. DE C.V.",Programa de Estímulos a la Innovación (PEI),"4,934,000"
PROTOWARE SA DE CV,Programa de Estímulos a la Innovación (PEI),"3,995,900"
ACTION SPORT DISTRIBUTION S.A. DE C.V.,Programa de Estímulos a la Innovación (PEI),"2,231,888"
GRANJAS MARINAS DE SINALOA SA DE CV,Programa de Estímulos a la Innovación (PEI),"19,064,059"
STEEL & TRUCKS SA DE CV,Programa de Estímulos a la Innovación (PEI),"3,091,422"
AVIPRESA NUTRICION ANIMAL SA DE CV,Programa de Estímulos a la Innovación (PEI),"3,673,200"
FORTACERO SA DE CV,Programa de Estímulos a la Innovación (PEI),"28,388,568"
MULKIN TECHNOLOGY SERVICES SA DE CV,Programa de Estímulos a la Innovación (PEI),"1,658,506"
PROSASOL SPR DE RI,Programa de Estímulos a la Innovación (PEI),"1,799,700"
KOLBENSCHMIDT DE MÉXICO S. DE R.L. DE C.V.,Programa de Estímulos a la Innovación (PEI),"3,880,486"
GRUPO NOIL TELECOMUNICACIONES S.A. DE C.V.,Programa de Estímulos a la Innovación (PEI),"3,102,000"
METAL INNOVATIONS SA DE CV,Programa de Estímulos a la Innovación (PEI),"5,205,595"
DUXTU SA DE CV,Programa de Estímulos a la Innovación (PEI),"3,413,035"
"BIO NUTRIENTS INTERNATIONAL, S. DE R.L. DE C.V.",Programa de Estímulos a la Innovación (PEI),"4,780,100"
LEV TRADING COMPANY S.A. DE C.V.,Programa de Estímulos a la Innovación (PEI),"4,746,500"
VITRO VIDRIO Y CRISTAL SA DE CV,Programa de Estímulos a la Innovación (PEI),"5,579,138"
OPTIMAL BERRY S DE RL DE CV,Programa de Estímulos a la Innovación (PEI),"7,816,276"
GLOBALMET SAPI DE CV,Programa de Estímulos a la Innovación (PEI),"4,641,600"
"XT AUTODIDACTAS INTELIGENTES, S.A DE C.V",Programa de Estímulos a la Innovación (PEI),"5,853,171"
TECNOLOGIA DE CALIDAD SA DE CV,Programa de Estímulos a la Innovación (PEI),"10,105,389"
SANCHEZ S.A. DE C.V.,Programa de Estímulos a la Innovación (PEI),"785,740"
INDUSTRIAL OCHOA S.A. DE C.V.,Programa de Estímulos a la Innovación (PEI),"1,626,730"
SANCHEZ S.A. DE C.V.,Programa de Estímulos a la Innovación (PEI),"1,036,088"
GESTAMP TOLUCA SA DE CV,Programa de Estímulos a la Innovación (PEI),"3,132,582"
NAIKA GROUP SA DE CV,Programa de Estímulos a la Innovación (PEI),"2,860,946"
SANCHEZ S.A. DE C.V.,Programa de Estímulos a la Innovación (PEI),"1,038,525"
VENTAJA DE NEGOCIACION SA DE CV,Programa de Estímulos a la Innovación (PEI),"6,519,955"
ASESORIA ESPECIALIZADA EVENING STAR SA DE CV,Programa de Estímulos a la Innovación (PEI),"4,190,766"
LABORATORIOS VIRBAC MEXICO S.A. DE C.V.,Programa de Estímulos a la Innovación (PEI),"1,741,353"
SISTEMAS AGROTEC S.A. DE C.V.,Programa de Estímulos a la Innovación (PEI),"1,868,675"
LOGYKOPT S.A. DE C.V.,Programa de Estímulos a la Innovación (PEI),"2,199,150"
RASSINI FRENOS SA DE CV,Programa de Estímulos a la Innovación (PEI),"5,621,234"
GENOMA MOBIL SA DE CV,Programa de Estímulos a la Innovación (PEI),"2,098,500"
"TECNOLOGIA Y PRODUCTOS ESPECIALES, S.A. DE C.V.",Programa de Estímulos a la Innovación (PEI),"4,868,990"
DOW QUIMICA MEXICANA S.A. DE C.V.,Programa de Estímulos a la Innovación (PEI),"3,716,482"
REMA SOLUTIONS SA DE CV,Programa de Estímulos a la Innovación (PEI),"6,908,000"
AXELERATUM S.A. DE C.V.,Programa de Estímulos a la Innovación (PEI),"4,632,620"
"BAYER DE MEXICO, S. A. DE C. V.",Programa de Estímulos a la Innovación (PEI),"2,414,380"
ELECTRICA AUTOMOTRIZ OMEGA SA DE CV,Programa de Estímulos a la Innovación (PEI),"4,691,665"
INNOVATIONS TECHNOLOGICAL WORLD S DE RL DE CV,Programa de Estímulos a la Innovación (PEI),"2,564,558"
CATECNA NEGOCIOS TECNOLÓGICOS S.A. DE C.V.,Programa de Estímulos a la Innovación (PEI),"14,347,275"
INDUSTRIAS MARVES SA DE CV,Programa de Estímulos a la Innovación (PEI),"6,367,149"
"MANTENIMIENTO A DISTANCIA DE MEXICO, S.A. DE C.V.",Programa de Estímulos a la Innovación (PEI),"3,698,500"
KUBEET S. DE R.L. DE C.V.,Programa de Estímulos a la Innovación (PEI),"1,465,480"
INDUSTRIAS MARVES SA DE CV,Programa de Estímulos a la Innovación (PEI),"5,258,622"
"LAPISA, S.A. DE C.V",Programa de Estímulos a la Innovación (PEI),"2,043,155"
"ELDORADO DISTRIBUCIONES, S.A DE C.V.",Programa de Estímulos a la Innovación (PEI),"4,839,500"
"ALTECSA, S.A. DE C.V.",Programa de Estímulos a la Innovación (PEI),"3,072,132"
CAASSIN EL PIZCADOR SINALOENSE SA DE CV,Programa de Estímulos a la Innovación (PEI),"4,960,394"
VIME DEVICES S.A. DE C.V.,Programa de Estímulos a la Innovación (PEI),"2,321,450"
ENERGÍAS ALTERNAS S.A. DE C.V.,Programa de Estímulos a la Innovación (PEI),"6,607,540"
PRODUCTORES DE FRUTAS TROPICALES PROCESADAS MOLINARI SPR DE RL,Programa de Estímulos a la Innovación (PEI),"3,148,604"
VIRETEC GESTION Y DESARROLLO S.A. DE C.V.,Programa de Estímulos a la Innovación (PEI),"2,143,482"
"INSECTICIDAS DEL PACIFICO, S.A. DE C.V",Programa de Estímulos a la Innovación (PEI),"1,947,803"
LITGO SA DE CV,Programa de Estímulos a la Innovación (PEI),"4,602,070"
IBM DE MÉXICO COMERCIALIZACIÓN Y SERVICIOS S. DE R.L. DE C.V.,Programa de Estímulos a la Innovación (PEI),"6,266,162"
"SEI MEDICAL, S.A. DE C.V.",Programa de Estímulos a la Innovación (PEI),"18,002,500"
MEXI FOOD S.A. DE C.V.,Programa de Estímulos a la Innovación (PEI),"4,997,716"
"PRODUCTORA DE ENVASES THERMOPLÁSTICOS, S.A.P.I. DE C.V.",Programa de Estímulos a la Innovación (PEI),"9,327,096"
"FORD MOTOR COMPANY, S.A. DE C.V.",Programa de Estímulos a la Innovación (PEI),"143,935"
WIN INFORMATION TECHNOLOGIES S DE RL DE CV,Programa de Estímulos a la Innovación (PEI),"3,886,998"
CREATIVOS PRÁCTICOS SA DE CV,Programa de Estímulos a la Innovación (PEI),"3,972,750"
TISE TECNOLOGIA INTEGRAL S.A. DE C.V.,Programa de Estímulos a la Innovación (PEI),"3,857,248"
CEREALES Y PASTAS SA DE CV,Programa de Estímulos a la Innovación (PEI),"6,459,959"
A SCHULMAN DE MEXICO SA DE CV,Programa de Estímulos a la Innovación (PEI),"1,990,861"
MEDIZONE SA DE CV,Programa de Estímulos a la Innovación (PEI),"4,597,981"
"INDUSTRIAS LAVIN DE MEXICO, S.A. DE C.V.",Programa de Estímulos a la Innovación (PEI),"3,325,004"
CONDUCTORES MONTERREY SA DE CV,Programa de Estímulos a la Innovación (PEI),"1,973,443"
RENYSON DE MÉXICO S.A. DE C.V.,Programa de Estímulos a la Innovación (PEI),"5,062,500"
GELPHARMA S.A. DE C.V.,Programa de Estímulos a la Innovación (PEI),"1,613,273"
SOLUCIONES TECNOLOGICAS CON MICROALGAS SA DE CV,Programa de Estímulos a la Innovación (PEI),"1,968,750"
"CAFE DEL PACIFICO, S.A.P.I DE C.V.",Programa de Estímulos a la Innovación (PEI),"5,731,470"
"STELAGENOMICS MEXICO, S DE RL DE CV",Programa de Estímulos a la Innovación (PEI),"781,596"
BIOPRESERVED S.A DE C.V.,Programa de Estímulos a la Innovación (PEI),"445,967"
SCHWEITZER ENGINEERING LABORATORIES S.A. DE C.V.,Programa de Estímulos a la Innovación (PEI),"1,889,772"
MINERALES QUERETANOS S.A. DE C.V.,Programa de Estímulos a la Innovación (PEI),"1,991,311"
IDEAR ELECTRONICA S.A. DE C.V.,Programa de Estímulos a la Innovación (PEI),"3,445,200"
"VINCON, S.A. DE C.V.",Programa de Estímulos a la Innovación (PEI),"4,100,630"
"AUGUSTO LEON CASTILLO, SERVICIO Y MANTENIMIENTO SA DE CV",Programa de Estímulos a la Innovación (PEI),"1,856,413"
"PROMOTORA INDUSTRIAL ACUASISTEMAS, S.A. DE C.V.",Programa de Estímulos a la Innovación (PEI),"7,825,036"
INVESTIGACION APLICADA SA DE CV,Programa de Estímulos a la Innovación (PEI),"977,788"
"FORD MOTOR COMPANY, S.A. DE C.V.",Programa de Estímulos a la Innovación (PEI),"1,172,332"
"VITALMEX INTERNACIONAL, S.A. DE C.V.",Programa de Estímulos a la Innovación (PEI),"9,760,488"
INBLAY TECHNOLOGY SA DE CV,Programa de Estímulos a la Innovación (PEI),"6,000,000"
ACEROS Y METALES HERCA SA DE CV,Programa de Estímulos a la Innovación (PEI),"5,566,220"
BEAVER PLASTICS DE MEXICO S.A. DE C.V.,Programa de Estímulos a la Innovación (PEI),"2,644,800"
"LABORATORIOS SILANES, S.A. DE C.V.",Programa de Estímulos a la Innovación (PEI),"1,167,741"
ELECTRONICA Y AUTOMATIZACION DEL NORESTE SA DE CV,Programa de Estímulos a la Innovación (PEI),"756,000"
"RESIRENE, S.A. DE C.V.",Programa de Estímulos a la Innovación (PEI),"1,381,511"
"GONET MEXICO, S.A. DE C.V.",Programa de Estímulos a la Innovación (PEI),"7,649,099"
VISCOFAN DE MEXICO S DE RL DE CV,Programa de Estímulos a la Innovación (PEI),"1,895,836"
"SOMERSET TECHNOLOGIES, S.A. DE C.V.",Programa de Estímulos a la Innovación (PEI),"4,973,588"
EMPACADORA MURGATI S.A DE C.V,Programa de Estímulos a la Innovación (PEI),"4,246,264"
"LABORATORIOS QUIVER, S.A. DE C.V.",Programa de Estímulos a la Innovación (PEI),"4,879,114"
NEZTER LANDING SOLUTIONS SA DE CV,Programa de Estímulos a la Innovación (PEI),"3,671,725"
MIRACLE TV MEXICO S. DE R.L. DE C.V.,Programa de Estímulos a la Innovación (PEI),"13,681,801"
"QUALTIA ALIMENTOS OPERACIONES, S. DE R. L. DE C.V.",Programa de Estímulos a la Innovación (PEI),"8,752,118"
PROCESOS MODERNOS DE LEON S.A DE C.V,Programa de Estímulos a la Innovación (PEI),"2,883,000"
"DISEÑO DE MAQUINARIA DE TRANSFORMACION, S.A. DE C.V.",Programa de Estímulos a la Innovación (PEI),"2,453,795"
"EQUIPOS Y SISTEMAS HIDRAULICOS, S.A. DE C.V.",Programa de Estímulos a la Innovación (PEI),"6,951,943"
"METAPLUS, S.A. DE C.V.",Programa de Estímulos a la Innovación (PEI),"1,015,760"
EXPERTPLAN CONSULTING & CONSTRUCTION SA DE CV,Programa de Estímulos a la Innovación (PEI),"27,000,000"
COMPASS CONSULTORÍA EN INNOVACIÓN TECNOLÓGICA S.A.P.I. DE C.V.,Programa de Estímulos a la Innovación (PEI),"3,343,750"
"ALTECSA, S.A. DE C.V.",Programa de Estímulos a la Innovación (PEI),"2,926,540"
"RESIRENE, S.A. DE C.V.",Programa de Estímulos a la Innovación (PEI),"1,341,644"
"INDUSTRIALIZADORA DE CARNICOS STRATTEGA, S.A. DE C.V.",Programa de Estímulos a la Innovación (PEI),"11,477,000"
"VIDRIO ARTESANAL XA QUIXE, S. DE R. L. MI. ART.",Programa de Estímulos a la Innovación (PEI),"1,466,121"
"ANALISIS Y PROSPECTIVA TECNOLOGICA, SA DE CV",Programa de Estímulos a la Innovación (PEI),"2,860,438"
DIQUISA S.A. DE C.V.,Programa de Estímulos a la Innovación (PEI),"3,419,052"
"NOVARTIS FARMACEUTICA, S.A. DE C.V.",Programa de Estímulos a la Innovación (PEI),"507,458"
PRINCIPIO ECOLOGICO S.A DE C.V.,Programa de Estímulos a la Innovación (PEI),"4,074,300"
EDGE DESIGN S.A DE C.V.,Programa de Estímulos a la Innovación (PEI),"2,370,301"
GRUPO ALTERNATIVO DE IDEAS AMBIENTALES SA DE CV,Programa de Estímulos a la Innovación (PEI),"3,616,073"
ESTRUCTURAS METÁLICAS DE PUEBLA S.A. DE C.V.,Programa de Estímulos a la Innovación (PEI),"3,619,140"
CASA PLARRE S. A . DE C.V.,Programa de Estímulos a la Innovación (PEI),"3,252,000"
"FUNDACION INTERDISCIPLINARIA PARA EL DESARROLLO EMPRESARIAL, S. DE R.L. DE C.V.",Programa de Estímulos a la Innovación (PEI),"3,080,769"
TRADEMIN S DE RL DE CV,Programa de Estímulos a la Innovación (PEI),"6,701,866"
"REDES, ARCOS Y NODOS, SAPI DE C.V.",Programa de Estímulos a la Innovación (PEI),"1,273,950"
TU CAUSA EN MOVIMIENTO S.A. DE C.V.,Programa de Estímulos a la Innovación (PEI),"2,564,500"
GRUPO PERFIMEXA SA DE CV,Programa de Estímulos a la Innovación (PEI),"4,457,070"
ZUKARA SA DE CV,Programa de Estímulos a la Innovación (PEI),"1,041,000"
ACUACULTORES ASOCIADOS SANTA RITA SC DE RL DE CV,Programa de Estímulos a la Innovación (PEI),"2,542,289"
A&P SOLUTIONS SA DE CV,Programa de Estímulos a la Innovación (PEI),"2,531,203"
KALTIA CONSULTORIA Y PROYECTOS S.A. DE C.V.,Programa de Estímulos a la Innovación (PEI),"3,970,420"
"LARC INDUSTRIES, SA DE CV",Programa de Estímulos a la Innovación (PEI),"1,859,627"
"SOMERSET TECHNOLOGIES, S.A. DE C.V.",Programa de Estímulos a la Innovación (PEI),"7,446,980"
"FLOTAMEX, S.A. DE C.V.",Programa de Estímulos a la Innovación (PEI),"676,678"
PRODUCTORA DE CAL DE YUCATAN SA DE CV,Programa de Estímulos a la Innovación (PEI),"2,205,861"
TECNOSURF SA DE CV,Programa de Estímulos a la Innovación (PEI),"4,578,600"
PROYECTOS SUSTENTABLES DE LA PENÍNSULA SA DE CV,Programa de Estímulos a la Innovación (PEI),"6,000,001"
INDUSTRIAS TARGARIEN S. R.L. DE .C.V.,Programa de Estímulos a la Innovación (PEI),"5,753,000"
INNO TEC ALIMENTOS S DE RL DE CV,Programa de Estímulos a la Innovación (PEI),"3,525,000"
FRITOS TOTIS S.A DE C.V,Programa de Estímulos a la Innovación (PEI),"2,260,942"
"SISTEMAS INTEGRALES DE DIAGNÓSTICO, S. A. DE C. V.",Programa de Estímulos a la Innovación (PEI),"3,313,912"
ANTECNOLOGIES S DE RL,Programa de Estímulos a la Innovación (PEI),"2,977,250"
PP MAR S DE RL DE CV,Programa de Estímulos a la Innovación (PEI),"2,100,002"
QENER SA DE CV,Programa de Estímulos a la Innovación (PEI),"14,144,948"
VIVITEC DISEÑO E INNOVACION TECNOLOGICA S.A. DE C.V.,Programa de Estímulos a la Innovación (PEI),"2,199,100"
PIELES Y DERIVADOS INTERNACIONALES SA DE CV,Programa de Estímulos a la Innovación (PEI),"2,958,170"
J.GARCIA COMERCIALIZACION Y SERVICIOS SA DE CV,Programa de Estímulos a la Innovación (PEI),"2,419,250"
INDIGO ALIMENTOS E INNOVACION SA DE CV,Programa de Estímulos a la Innovación (PEI),"4,658,750"
TECNO RED VARLI S. DE R.L. DE C.V.,Programa de Estímulos a la Innovación (PEI),"1,669,973"
"XPERTO INTEGRAL SYSTEMS, S.A. DE C.V.",Programa de Estímulos a la Innovación (PEI),"1,442,440"
ASOCIADOS EN TRANSFERENCIA DEL CONOCIMIENTO S.A. DE C.V.,Programa de Estímulos a la Innovación (PEI),"3,425,000"
MAKRO SOLUCIONES DE TECNOLOGIA SA DE CV,Programa de Estímulos a la Innovación (PEI),"2,422,406"
HIELO DE MONTECRISTO SA DE CV,Programa de Estímulos a la Innovación (PEI),"3,925,000"
"TECSOLUX, S.A. DE C.V.",Programa de Estímulos a la Innovación (PEI),"4,998,196"
CASA PLARRE S. A . DE C.V.,Programa de Estímulos a la Innovación (PEI),"904,659"
"MOLDEO Y CENTRIFUGADO DE METALES, S.A. DE C.V.",Programa de Estímulos a la Innovación (PEI),"8,168,164"
"PRODUCTORES LA BUENA TIERRA, S.P.R. DE R.L.",Programa de Estímulos a la Innovación (PEI),"4,965,400"
CARU ARDICA SA DE CV,Programa de Estímulos a la Innovación (PEI),"4,529,400"
APLICACIONES MECATRONICAS DE CIUDAD VICTORIA S. DE R.L. MI.,Programa de Estímulos a la Innovación (PEI),"1,637,834"
"IMBERA, S.A. DE C.V.",Programa de Estímulos a la Innovación (PEI),"6,775,699"
TECNOLOGÍA MODULAR EN BARDAS SA DE CV,Programa de Estímulos a la Innovación (PEI),"5,396,250"
ADMAN LEKU S.A. DE C.V.,Programa de Estímulos a la Innovación (PEI),"8,441,860"
OZONO POWERFULL DE MEXICO SA DE CV,Programa de Estímulos a la Innovación (PEI),"4,978,713"
FORJACHISA S.A. DE C.V.,Programa de Estímulos a la Innovación (PEI),"5,656,213"
"SIGOB, S.A. DE C.V.",Programa de Estímulos a la Innovación (PEI),"3,777,750"
"SOLEXVINTEL, S.A. DE C.V.",Programa de Estímulos a la Innovación (PEI),"9,661,454"
INNOVACION INDUSTRIAL CORPORATIVA SA DE CV,Programa de Estímulos a la Innovación (PEI),"2,470,108"
CHILE PEPE S.A. DE C.V.,Programa de Estímulos a la Innovación (PEI),"20,852,500"
VIVITEC DISEÑO E INNOVACION TECNOLOGICA S.A. DE C.V.,Programa de Estímulos a la Innovación (PEI),"1,435,950"
SISTEMAS CLIMATIZADOS S.A. DE C.V.,Programa de Estímulos a la Innovación (PEI),"3,950,035"
REACCIONES QUIMICAS SA DE CV,Programa de Estímulos a la Innovación (PEI),"2,106,436"
"CHIVA SENTADA, S. DE R.L. MI. DE C.V.",Programa de Estímulos a la Innovación (PEI),"2,463,897"
LABORATORIO TECNICO EPS SA DE CV,Programa de Estímulos a la Innovación (PEI),"1,322,500"
"TECSOSA, S.A. DE C.V.",Programa de Estímulos a la Innovación (PEI),"4,986,851"
"MECA TECNOLOGÍAS, S. DE R.L. DE C.V.",Programa de Estímulos a la Innovación (PEI),"4,273,438"
MABE S.A DE C.V,Programa de Estímulos a la Innovación (PEI),"2,218,662"
"CENTRO IMPULSOR DE ESTUDIOS AGROALIMENTARIOS, S.A. DE C.V.",Programa de Estímulos a la Innovación (PEI),"6,925,730"
GTCO SA DE CV,Programa de Estímulos a la Innovación (PEI),"5,836,287"
"ANIMACTIVA, S.A. DE C.V.",Programa de Estímulos a la Innovación (PEI),"2,510,500"
"KRISMAR COMPUTACION TOLUCA, S. DE R. L. DE C. V.",Programa de Estímulos a la Innovación (PEI),"4,510,000"
"CARETAS REV, S.A. DE C.V.",Programa de Estímulos a la Innovación (PEI),"586,404"
TECNOLOGÍAS SILBIT DE MÉXICO S.A. DE C.V.,Programa de Estímulos a la Innovación (PEI),"2,922,250"
HEALTHCARE BUSINESS AND COMPUTER TECHNOLOGY SA DE CV,Programa de Estímulos a la Innovación (PEI),"4,500,000"
KOPPERT MEXICO SA DE CV,Programa de Estímulos a la Innovación (PEI),"864,820"
"INGENIERIA QUANTICA SUPERIOR, S.A. DE C.V.",Programa de Estímulos a la Innovación (PEI),"6,911,967"
"EQUIPOS INOXIDABLES DEL NORTE, S.A. DE C.V.",Programa de Estímulos a la Innovación (PEI),"4,731,731"
"INDUSTRIAS PLASTICAS MEDICAS, S.A. DE C.V.",Programa de Estímulos a la Innovación (PEI),"3,080,336"
PALOMINO RECTIFICACIONES S.A. DE C.V.,Programa de Estímulos a la Innovación (PEI),"9,914,063"
A&P SOLUTIONS SA DE CV,Programa de Estímulos a la Innovación (PEI),"3,866,581"
KIMMKAAL AGROSOLUCIONES SA DE CV,Programa de Estímulos a la Innovación (PEI),"5,043,060"
"FABRICA DE PINTURAS UNIVERSALES, SA DE CV.",Programa de Estímulos a la Innovación (PEI),"4,171,924"
DSM DESARROLLOS TECNOLÓGICOS DE HIDALGO S. A. DE C. V.,Programa de Estímulos a la Innovación (PEI),"886,191"
"ISA INDUSTRIAL DEL PACIFICO, S.A. DE C.V.",Programa de Estímulos a la Innovación (PEI),"4,974,704"
GENERACION DE VALOR Y TECNOLOGIA SA DE CV,Programa de Estímulos a la Innovación (PEI),"4,999,999"
KNOWLEDGE AND CAPITAL S.A. DE C.V.,Programa de Estímulos a la Innovación (PEI),"5,062,500"
BIOS TECNOLOGIA APLICADA S DE RL DE CV,Programa de Estímulos a la Innovación (PEI),"3,500,000"
ALTERNOS Y RECICLADOS PAVETECH SA DE CV,Programa de Estímulos a la Innovación (PEI),"9,963,250"
"QUIMI KAO, S.A DE C.V.",Programa de Estímulos a la Innovación (PEI),"809,426"
"NUCITEC, SA. DE CV.",Programa de Estímulos a la Innovación (PEI),"959,461"
BIOPRESERVED S.A DE C.V.,Programa de Estímulos a la Innovación (PEI),"5,614,000"
"GOVAL INTERNACIONAL, S.A DE C.V.",Programa de Estímulos a la Innovación (PEI),"2,990,000"
SEC APP TECHNOLOGIES S.A. DE C.V.,Programa de Estímulos a la Innovación (PEI),"2,843,100"
GAMA3D S DE RL DE CV,Programa de Estímulos a la Innovación (PEI),"2,812,500"
GERSA TECNOLOGÍA S.A DE C.V,Programa de Estímulos a la Innovación (PEI),"1,130,183"
