Year Funded,Project title,Project summary ,Company,Company Type,Competition Type
2016,Novel applications of structural equation models for car ownership and travel choice forecasting,The project develops a method to detect early signs of trend-breaks in travel demand and provide policy-cogent prognostics using a continuous feed of NTS as well as road and rail traffic data,"Martin Centre for Architectural and Urban Studies, Cambridge University",University,T-TRIG
2016,SilkThread© O Licence Compliance Dashboard,"To investigate the technical and commercial feasibility of developing a multiuser dashboard for any transport operators to feed their compliance data into, with the aim to become part of the DVSA Earned Recognition scheme, which is due to launch in early 2017",Labyrinth Logistics Consulting Ltd,Micro,T-TRIG
2016,Artificial Intelligence Based Traffic Data Collection,Validate the application of AI for the purpose of traffic data collection for DfT,WSP Parsons Brinckerhoff Ltd (in partnership with Calipsa Ltd),Large,T-TRIG
2016,MALTS: Multiple Antenna Line-of-sight radio link testbed for Transport Systems,Enhanced spectral efficiency for the line-of-sight wireless alongside transport infrastructure ,The Open University,University,T-TRIG
2016,H2 Map,H2 Map aims to provide a real-time map of UK Hydrogen Refuelling Stations with current availability giving early adopters the reassurance that they will be able to fill their Fuel Cell Electric Vehicles with hydrogen. Data will be collected via the 3G network across all providers of Hydrogen Refuelling Stations and be displayed on a web based map and mobile app. An API will be made available to give access to those wishing to integrate the data into other systems such as onboard navigation systems.,Fuel Cell Systems Ltd,SME,T-TRIG
2016,Beyond Visual Line of Sight UAV Air Traffic Control Operations,To prove that small unmanned aircraft (drones) can integrate with current Air Traffic Management Systems by flying a pre-programmed route and reacting to tactical ATC instructions.,SalusUAV,SME,T-TRIG
2016,Processing of Advanced Thermoplastic co-mingled fabrics    ,Development of a process to manufacture high performance thermoplastic composites from co-mingled fabrics,CCP Gransden,SME,T-TRIG
2016,Feasibility assessment of a low-cost light-weight ultra-efficient 10kW Gallium Nitride traction inverter for ultra-low emission vehicles,"To design, build and test a 10kW GaN traction inverter for ultra-low emission electric vehicles and quantify its economics and benefits.",Camtronics Limited,SME,T-TRIG
2016,Diesel Fuel Heater Replacement on Electric Buses,"To replace diesel fuel heaters used on electric buses with innovative, high power density, and high energy density thermal energy storage systems ? heat batteries",Sunamp Limited,SME,T-TRIG
2016,A Turbo Range Extender (TREx),This project is proposed to assess the feasibility of a reconfigured gas turbine engine as a low emission and high efficiency power plant primarily for range extended electric vehicles,Birmingham High Performance Turbomachinery Limited,SME,T-TRIG
2016,Development of a Novel Composite Material for Dynamic Diesel Particulate Filtration System,Development of a novel porous ceramic composite with specific electrical parameters and characteristics,Brunel University London,University,T-TRIG
2016,Benchmarking Total Transport,"The project will produce a benchmark suite of test scenarios which local authorities can use to evaluate total transport solutions (those which integrate disparate transport services) and which suppliers can use to extend, improve and market their products",Esoterix Systems,SME,T-TRIG
2016,Demonstration of a low cost high density bike share docking station,The project will trial an innovative bike share docking station which aims to significantly reduce capital and operational costs.,Biella Research,SME,T-TRIG
2016,ptiCAM Feasibility,The project is a feasibility study that will determine the suitability of using software image analysis techniques and standard CCTV cameras to provide a low cost solution for the detection of incidents at the platform train interface.,Zircon Software Limited,SME,T-TRIG
2016,DriverNet SmartSite ? testing the impact of a cloud based logistics community,"Measuring the impact of the DriverNet SmartSite systems on optimising connectivity and arrivals across a national logistics community of fleet operators, drivers and customer sites. ",DriverNet   ,SME,T-TRIG
2016, Visible light communications for in-train passenger high speed content delivery,To provide high speed wireless content delivery to in-train passenger mobile devices by using visible light communication technology.,HW Communications Ltd,SME,T-TRIG
2016,Saving Lives by Managing Driver Fatigue,Using wearable technology and a bio-mathematical model of driver fatigue to save lives by reducing the number of road traffic collisions, Sleep and Fatigue Research Ltd (previously Biometric Fatigue Management Ltd),SME,T-TRIG
2016,Mobile Beacon Ticketing ? Feasibility Study,To determine the feasibility of using Bluetooth Smart beacons with smartphones in a transport ticketing environment.,Touch‚ NFC Ltd,SME,T-TRIG
2016,Pushme - On-Demand Bicycle Electrification,"Pushme is a compact electronics device that converts conventional bicycles to electric in seconds, without requiring tools or permanent hardware installed on the bicycle",Pushme Bikes Limited,SME,T-TRIG
2016,Smart Electric City Trike; ultra-low emission EV with pedal-assist,A modular platform using GSM and Wi-Fi technology with hardware and sensory inputs connecting assets in real-time through an intuitive app interface,Podshare Ltd,SME,T-TRIG
2016,Ferromone Trails Concept,Using ant-colony algorithms to increase rail capacity on transitional infrastructure ,University of Sheffield,University,T-TRIG
2016,AI-powered disruption ?bot? ( bid # 2),Developing an AI ?bot? that processes real-time transport customer services requests during disruption using combined disparate data feeds.,Snap Out Limited ,SME,T-TRIG
2016,Proof of concept investigation of context detection technology for improved journeys (8),"Proof of concept study of novel context detection technology for mobile devices, improving the passenger experience on the UK rail network.

",Signalbox ,SME,T-TRIG
2016,Big-Data Driven Prediction of Public Transport Delays and Disruption (11),Development and validation of a big data driven machine learning model for actionable advice based predictions of public transport delays and disruptions.,Faster Route Ltd ,SME,T-TRIG
2016,Using Machine Learning and Big Data to Model Car Dependency: an Exploration Using Origin-Destination Data (18),"This project will explore the potential for emerging methods in Big Data and Machine Learning to be applied to transport modelling, with a focus on car dependency at the origin-destination level.",University of Leeds,University,T-TRIG
2016,Digital Railways ? The AECOM approach (19),"This project will research and report on the feasibility of combining existing and proven products for micro-simulation, virtual reality driver simulation and traffic management control system emulation to provide a rapid modelling tool for road network operators to develop and test their business logic for generating driver and traffic management information.",Infrastructure & Environment UK Ltd ,Large,T-TRIG
2016,A big data architecture for traffic forecasting using multi-source information (23),"The development of a big-data architecture for transport related predictive analytics information services, focusing on the realisation of a traffic forecasting system.",University of Wolverhampton,University,T-TRIG
2016,Using wireless mesh networks to enhance journey time predictions in urban areas,Our proposed project uses innovative embedded algorithms in wireless mesh networks combined with novel Machine Learning techniques to advance the current state of the art for real time journey time predictions in urban areas over a continuous rolling time horizon.,Traak Systems Ltd,SME,T-TRIG
2016,Lasershield,Details on application ,LUMOPTICA Ltd,SME,T-TRIG
2016,Vehicle screening with atomic magnetometers,Details on application ,University College London,University,T-TRIG
2016,Decision Support Tool for Modelling Security Scenarios Onboard Passenger Ships,Details on application ,University of Strathclyde,University,T-TRIG
2016,Uni-Cycle,Details on application ,NUS Charitable Services,Charity,ICF
2016,Lightweight Folding Ebike,Details on application ,Hinton Bikes Ltd,SME,ICF
2016,Cycling Infrastructure Prioritisation Toolkit (CIPT),Details on application ,University of Leeds,University,ICF
2016,Ride Side by Side,Details on application ,Cycle Training UK Ltd    ,SME,ICF
2016,Improving Cyclist Safety via neuromorphic visual processing: Robust cyclist detection system,Details on application ,ODiGA,SME,ICF
2016,Blubel Cyclist Crowdsourcing Data Platform,Details on application ,Blubel Tech Ltd,SME,ICF
2016,Clean Air Miles (decarbonised last mile deliveries),Details on application ,E-CARGOBIKES.COM,SME,ICF
2016,Using Virtual Reality to develop Risk Awareness Perception Training for the UK,Details on application ,"Institute for Transport Studies, University of Leeds",University,ICF
2016,VR Driver,Details on application ,Onteca Ltd,SME,ICF
2016,Supporting Learner Drivers through Virtual Reality ,Details on application ,University of Southampton,University,ICF
2016,Developing an integrated hazard perception and highway code training and assessment tool,Details on application ,Nottingham Trent University,University,ICF
2016,"Catalysing the adoption and safe integration of drones into UK Airspace through the provision of an integrated UAS Management System, ?The Internet of Flying Things?",Details on application ,Altitude Angel Limited,SME,ICF
2016,RPAS Enabling Communications Technologies and Procedures,Details on application ,Gnosys Global Ltd,SME,ICF
2016,Multimodal information fusion for Safe Assisted drone Navigation (MASAN),Details on application ,University of Kent,University,ICF
2016,Future Unmanned Aerial Systems Traffic Management (UTM),Details on application ,SalusUAV,SME,ICF
2015,Train-Track Messaging System (TTMS),This project looks to develop the simple but novel concept to regulate trains through the exchange of data between modified 'Eurobalises'.,Milne Research Ltd,SME,T-TRIG
2015,Optimisation of Energy and Emissions Reduction Audits and Consultancy ,"A Proof of concept study that will evaluate the benefits and potential for the optimisation of carbon reduction audits & consultancy using data loggers, automation and Roue Monkeys existing algorithms and associated software services",Route Monkey Limited,SME,T-TRIG
2015,Wayfindr: Wayfinding for the visually impaired across multiple transport modes,This research project seeks to demonstrate an innovative wayfinding proof of concept system for visually impaired people when navigating between different modes of transport. ,London Underground Ltd.,Large ,T-TRIG
2015,Evidence review of the application of behavioural economics in transport policy,"The aim of this proposal is primarily to develop the evidence base on the application of behavioural economic approaches in policy making within the transport sector, and secondly, to use this both to inform future policy decision making processes and identify gaps where additional research in this field would be merited. ",Rand,Large,T-TRIG
2015,"Low-cost, self-healing railway sleepers for bridge ends and stiffness transition zones","This project aims at developing a prototype of low-cost, self-healing sleeper using MR fluid for railway applications at bride ends and stiffness transition zones. The prototype will make use of smart MR characteristics of which it can be in solid state when magnetised by track circuit, and otherwise it is naturally in fluid state. ","Birmingham Centre of Railway Research and Education, University of Birmingham",University,T-TRIG
2015,Collideoscope: Crown Sourcing A realistic Picture of Cycle Safety in the UK,"This project is a crowd-sourcing web-app which allows members of the public to find an report cycling incidents of any severity, as well as close calls and near misses they experience or witness",Intergrated Transport Planning Ltd.,SME,T-TRIG
2015,Super Capacitor Super Train (SCST),The project proposal is to use super/ultra capacitors produced from Graphene and/or Carbon Nanotubes to rapidly store electrical energy from strategically placed line power feeds. ,Absolutely New Inventions Ltd.,SME,T-TRIG
2015,"Telematics for Traffic, 'virtual sensors' and pollution organisation ","The delivery of any traffic management, infrastructure or policy change should be based upon the best data available to ensure approaches are suitably evidence based. Currently evidence used typically originates from surveys, incident reports, key individual expertise, sensor data and modelled estimations. This project proposes augmenting current data availability with new data in the form of 'virtual sensors' derived from very large scale vehicular telemetrics data. Virtual sensors have strong potential to fundamentally change how roads are understood and this project aims to 1) make such data available to estimate the impact it can bring to aid key DfT objectives 2) test the application of 'virtual sensor' data in a test region with emission understanding as a target use case to demonstrate added value.",The Floow Limited,SME,T-TRIG
2015,BikeBeacon- an advanced warning system for bicycles on rural roads ,"The BikeBeacon project aims to improve safety for cyclists on rural roads by providing advanced warning to drivers of cyclists ahead. This project uses an architecture based on the use of the cyclists smartphone as an active 'beacon' to send current location, based on GPS, to a cloud based system that then distributes live warning alerts to in-vehicle systems ",Integrated Systems Engineering,SME,T-TRIG
2015,Ultra-High Temperature Exhaust Gas Motor Simulation,The project evaluates the performance of new ultra high temperature rotary vane gas motors for capturing the exhaust energy in new engines. ,Rotovane Limited,SME,T-TRIG
2015,Feasibility Study for 'Mobility as a Service' concept (FS-MaaS),The FS-MaaS proposals main aim is to conduct a feasibility study for a Maas application in London. The proposed study will research an innovative idea and solution to sustainable transport ,University College London,University,T-TRIG
2015,Streetworks Analytics proof of concept of national data analysis,First ever analysis of a national roadworks database designed to produce metrics to inform policymaking & inform intelligent mobility solutions,Roadworks Information Limited (trading as Elgin),SME,T-TRIG
2015,TripSensr,A sensor toolkit for monitoring environmental comfort on public transport.,"The Bartlett Centre for Advanced Spatial Analysis (CASA), University College London",University,T-TRIG
2015,Robust Safety Methodologies for Wireless Sensor Networks (WSNs) at Railway Level Crossings (LXs)e,This projects aims to assess the risk and to develop a robust safety methodology for the implementation of wireless sensor networks (WSNs) at level crossings (LXs) to detect approaching trains.,Institute of Railway Research University of Huddersfield,University,T-TRIG
2015,Enhancing transport models with cutting-edge visualisation,"This project will explore the business case for the use of innovative technologies, drawn from the film and gaming industries, to improve the output of transport models and enhance the usability and presentational capabilities of models strategically important to the UK. ",ITO World,SME,T-TRIG
2015,Adoption of Passive Destruction Interference to develop high-efficiency sound attenuating structures for high speed rail network,This aim of this research is to study the relationship between geometrical cavities and acoustic interference to establish proof of concept and laboratory prototype to develop a high-efficiency noise cancelling structure for High Speed (HS) rail noise abatement. ,University of Wolverhampton,University,T-TRIG
2015,Transport Optimised Radio Terminal (TORT),This project will investigate the feasibility of developing a new and better radio terminal that will both deliver improved performance and be more practical to install within a vehicles limited equipment mounting space and restricted external antenna mounting constraints.,BathCube Ltd. ,SME,T-TRIG
2015,Optimal Decisions for Large-Scale Transport Systems,"We propose to develop and demonstrate a software framework that will make available to transport practitioners a new technique known as Approximate Dynamic Programming (ADP).  At present, the use of ADP is confined mostly to academics, but with some limited real-world application to transport",Smith Institute,SME,T-TRIG
2015,Low cost alternative to GSM for data connectivity of Electric Vehicle Charge points,Use of mobile handsets & Bluetooth as an interface between a centralised charge point management system and a charge point.,Hanger19 Limited,SME,T-TRIG
2015,Prevention of Accidents through Community Action for Schools (PACAS),This project will combine the data analysis techniques which describe risk factors on the school journey with the management strategies of school travel teams by developing a prototype app to help manage risk. ,Loop Connections Ltd,SME,T-TRIG
2015,"Lightweight, Low Cost Nano-Composite Hydrogen Pressure Vessels for Ultra-Low Emission Vehicles",Use of graphene and carbon fibre reinforced thermoplastic composites to reduce mass of H2 vessels,Haydale Composite Solutions Ltd,SME,T-TRIG
2015,Building an Intelligent Transport Information Platform for Smart Cities,"We wish to develop a prototype testbed to monitor vehicles in the Transportation Network using VANET Technology, and thus facilitate the development of a better transport system using intelligent algorithms",Middlesex University,University,T-TRIG
2015,"PREPAReD: Predicting, Preventing, and Analysing Rail Delays",Using live data feeds and computer modelling to track and predict delays in the rail network,University of Leicester,University,T-TRIG
2015,Hybrid gyroscope for navigation in adverse environments,"This project is to validate the concept of a low cost, low power, portable platform for personal inertial navigation systems",J&M Inertial Navigation Ltd,SME,T-TRIG
2015,Making it personal- Understanding and changing agent fuel use behaviours ,"Building upon our world-class expertise in behavioural science and strong industry partnerships, we are working towards a ground-breaking technology product that will reduce fuel consumption and carbon emissions by changing transport personnel's behaviours. In the next 3 months, we will identify/assess the data sources and key personnel behaviours for fuel use across multiple modes of transport and develop a viable/feasible plan for product design. ",Avalon Behaviour Ventures Ltd,SME,T-TRIG
2015,The development of a new road accident reporting system,The project will introduce and test a new system for the reporting of road accidents in Great Britain.,Queen's University Belfast,University,T-TRIG
2015,The detection of urban road congestion using sensor measurements,The aim is to model urban road congestion as a collection of primitive events that are identified by sensors in the road network with the eventual aim of providing an early warning system for congestion. ,Manchester Metropolitan University,University,T-TRIG
2015,CAV PAS (Connected and Autonomous Vehicles - Priority At Signals),Feasibility study of how local authorities could give priority to connected freight vehicles ,SG Transport Innovation Ltd,SME,T-TRIG
2015,The use of portable ultrasonics to keep the rails clean,"Pioneering ultrasonic technology, which has brought significant advances to cleaning in the medical sector, will be adapted to remove from rail lines the slippery black paste formed when wheels crush fallen leaves, resulting in leaves on the line delays each autumn.",University of Southampton,University,T-TRIG
2015,Autonomous windships for coastal transport. ,Identifying possible routes for coastal transport using autonomous sailing vessels ,OneSails GBR (South),SME,T-TRIG
2015,Simply Connect: developing an open source MaaS platform,System design and core development of an open-source MaaS multimodal platform. ,sustainable Environment Ltd,SME,T-TRIG
2015,"Dolphin Pod Lightweight, ultra-low emission EV with pedal-assist","Dolphin pods are super-lightweight, folding, three wheeled pedal-augmented electric vehicles, offering the potential of clean door-to-door rapid-mass-transit; healthy, sustainable, super-lightweight electric travel.",Dolphin Ltd,SME,T-TRIG
2015,WHISPER,"Testing with potential users of a prototypical wearable device, such as a watch or hat, that provides the pedestrian user with haptic feedback on their immediate environment so as to help them avoid collisions with other pedestrians, street furniture, over-hanging foliage, parked or slowly-moving vehicles and/or other pedestrian obstacles.  ",University of Leeds,University,T-TRIG
2015,Diesel Emissions Reduction Fuel Vapor retrofit technology,"A novel system of increasing the fuel burn efficiency on Diesel engines which will drastically reduce emissions and particulates the solution is possible to be both retro fitted to existing vehicles and installed by vehicle manufacturers.
The project will perform very simple but accurate laboratory standard test to validate the system  
",Envirotecnic Ltd,SME,T-TRIG
2015,Air Quality Urban Analysis of Reatl-time Information and Actuation (AQUARIA),"AQUARIA measures, visualises and predicts real-time air quality in order to trigger traffic control intervention to reduce NOx within the urban environment.",Imtech Traffic & Infra UK Ltd,SME,T-TRIG
2015,State-of-the art upgrade of remote roadside vehicle emission monitoring equipment,For this work we propose to use our existing FEAT system and develop an NO2 sensor using state of the art technology to use alongside it. This will be based on an UV LED source and a spectrometer.,TRL Ltd,Large,T-TRIG
2015,London EDAR Demonstration and Evaluation,"This project is a first-time UK deployment and demonstration of a new-to-market remote sensing technology, the Hager Environmental & Atmospheric Technologies Emissions Detecting And Reporting system (HEAT EDAR), which provides high-resolution, high-sensitivity, multi-species measurement capability (typically, CO, CO2, NO, NO2, HC, and PM2.5 but readily optimised for other applications). It also employs a down-facing, single-unit camera configuration that offers a number of practical advantages over the conventional across-road, single-beam, two-unit arrangement of traditional remote sensing systems. ",HEAT LCC / Kings College London / University of Leeds Collaboration,University,T-TRIG
2015,"Urban Freight Emissions, Air Quality and the London Lorry Control Scheme",Evaluation of air quality impacts of urban freight and consideration of the impacts of London Lorry Control Scheme on freight vehicle emissions.,Imperial College,University,T-TRIG
2015,Vehicle by vehicle characterisation of real-world road fleet emissions,Total road fleet pollutant emissions inventory at a vehicle by vehicle resolution measured under real-world driving conditions in Birmingham.,University of Birmingham,University,T-TRIG
2015,AQATANE,A localised street-level meteorologically and congestion sensitive real-time air quality driven traffic management solution,Amey OW Ltd,SME,T-TRIG
2015,Urban NOx exposure reduction though connected vehicles.,"This project will deliver crowd source highly accurate near real time NOx measurement via zero emission vehicles, to provide detailed city wide NOx mapping, enabling smart traffic management actions to reduce NOx exposure.    ",Cenex,SME,T-TRIG
2015,Feasibility study to establish a proof of concept for managing urban road network air quality ?hot spots? in real time. ,Feasibility study to establish a proof of concept for managing urban road network air quality hot spots in real time. ,Dr Glyn Rhys-Tyler,Other,T-TRIG
2015,Utilising telematics data to understand fine grained NOx emissions ,This project aims to reuse historic anonymous telematics data (collected over 3 years) to analyse mass movements and resulting emissions over a cityscape to understand how pollution is influenced by mass drivers in differing topological networks of roads over time. ,The Floow,SME,T-TRIG
2015,Exhaust Pipe mounted NO2 absorbent evaluation,Placing Alsiteks NO2 absorbent in an exhaust gas stream ,Alsitek,SME,T-TRIG
2014,Absorbtion of nitrogen oxides at the roadside using mushrooms ,"this project aims to explore the feasibility of using spent mushroom hyphae to reduce NOx pollution in the UK. The project will investigate a number of mushroom species similar to those tested in Hong Kong and test their potential to absorb NOx in a controlled laboratory environment. A small scale field-based test will be conducted to determine their efficacy in the UK climate. If this is successful, we would recommend further work to install mushroom barriers alongside a strategic road network.",TRL,Large ,T-TRIG
2014,NOx Mitigation by absorption in solid mineral polymer matrix,"The proposal, then, is to produce and test a range of polymers, designed to pick up NOx molecules and then desorb them under certain stimuli.

The quantifiable absorption properties would then be available to assess the feasibility for their use to prove the concept as a cost effective and safe solution to the issues of roadside NOx concentrations. 
",Alsitek,SME,T-TRIG
2014,Traffic management measures to mitigate NOx- reducing impact to high risk road users ,"This projects tests the feasibility of integrating NOx detection, pedestrian detection and traffic management systems. These systems will be linked in a model to test two benefits in urban areas: Firstly, the protection of high sensitive receptor group (pedestrians) to NOx and secondly, the absolute reduction of NOx.",Siemens ,Large ,T-TRIG
2014,Dynamic Control and optimisation of high NOx regions by the creation of a real time dynamic NOx Map and the active management of Range Extended Electric Vehicles ,This proposal is to investigate the feasibility of creating a publicly available real time NOx map and impact (by vehicle) of managing NOX production when a REEV?s range extender is dynamically controlled remotely.  This control is based upon route and real time NOX data measured at the road side and centrally collated,Teva Motors Ltd,SME,T-TRIG
